,name,id,birthday,연도,팀,나이,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
36,권휘,50203,2000-12-07,2021,두산,21,24,0,0,0,0,0,0,1,20.1,6,6,92,16,3.0,0.0,0,14,0,2,15,0,3,2.66,4.22,1.48,162.4,105.0,0.59,0.13
37,권휘,50203,2000-12-07,2022,두산,22,10,0,0,0,0,0,0,1,9.1,6,6,40,8,0.0,0.0,1,5,0,1,5,0,2,5.79,5.59,1.39,68.8,71.1,0.02,0.02
38,박웅,50205,1997-11-12,2021,두산,24,10,0,0,0,0,0,0,0,11.2,7,7,49,12,1.0,1.0,0,4,0,3,7,0,0,5.4,3.93,1.37,79.9,112.5,0.05,-0.02
39,박웅,50205,1997-11-12,2022,두산,25,8,0,0,0,0,0,0,0,6.0,3,3,33,7,0.0,0.0,0,7,0,0,3,0,0,4.5,5.84,2.33,88.4,70.1,0.09,0.04
40,제환유,50211,2000-09-30,2023,두산,23,1,0,0,0,0,0,0,0,2.0,4,3,14,3,0.0,0.0,0,4,0,0,2,0,1,13.5,7.44,3.5,30.2,55.7,-0.11,-0.01
41,플렉센,50234,1994-07-01,2020,두산,26,21,0,0,21,8,4,0,0,116.2,43,39,472,97,14.0,0.0,6,30,2,2,132,0,5,3.01,2.73,1.09,154.0,169.7,3.51,1.01
42,이주엽,50262,2001-03-26,2020,두산,19,4,0,0,0,0,0,0,0,3.1,3,3,19,3,1.0,0.0,0,7,0,0,2,0,1,8.1,8.66,3.0,57.2,54.6,-0.01,-0.01
43,조제영,50296,2001-02-12,2020,두산,19,4,0,0,1,0,1,0,0,6.0,7,7,31,6,1.0,0.0,1,7,0,1,6,0,1,10.5,7.72,2.17,44.1,59.7,-0.21,-0.4
44,조제영,50296,2001-02-12,2021,두산,20,6,0,0,1,0,1,0,0,10.2,13,13,60,18,3.0,0.0,1,10,1,1,5,0,1,10.97,6.43,2.63,39.3,67.5,-0.38,-0.43
45,최세창,50298,2001-06-01,2020,두산,19,3,0,0,0,0,0,0,0,3.0,2,1,15,5,0.0,0.0,1,0,0,0,1,0,0,3.0,7.22,1.67,154.4,62.0,0.02,-0.01
46,최세창,50298,2001-06-01,2021,두산,20,1,0,0,0,0,0,0,0,1.1,0,0,5,1,0.0,0.0,0,1,0,0,0,0,0,0.0,5.58,1.5,,79.4,0.05,0.0
47,이종민,50354,2001-06-04,2021,키움,20,2,0,0,0,0,0,0,0,2.1,6,6,17,4,0.0,0.0,1,7,0,0,3,0,0,23.14,15.33,4.71,19.2,28.0,-0.18,-0.01
48,이종민,50354,2001-06-04,2023,키움,22,11,0,0,2,0,1,0,0,13.2,13,11,72,22,7.0,0.0,0,6,0,1,10,0,0,7.24,3.52,2.05,56.7,117.1,-0.36,-0.71
49,김동혁,50360,2001-12-27,2020,키움,19,8,0,0,0,0,1,0,0,8.2,5,5,36,8,1.0,1.0,1,1,0,1,6,0,1,5.19,4.36,1.04,90.9,106.2,0.1,-0.12
50,김동혁,50360,2001-12-27,2021,키움,20,40,0,0,8,0,5,1,0,82.0,51,47,367,89,21.0,0.0,5,34,4,14,30,1,0,5.16,5.0,1.5,85.9,87.6,0.24,-1.57
51,김동혁,50360,2001-12-27,2022,키움,21,24,0,0,0,2,1,0,3,26.2,14,14,115,28,12.0,2.0,0,11,2,1,18,0,1,4.73,3.11,1.46,84.6,129.7,0.29,-0.35
52,김동혁,50360,2001-12-27,2023,키움,22,35,0,0,2,1,7,0,6,39.1,34,33,192,51,9.0,3.0,1,18,0,6,24,2,0,7.55,4.38,1.75,54.4,93.7,-0.81,-1.16
53,김동욱,50393,1997-05-16,2021,키움,24,3,0,0,0,0,0,0,0,3.0,3,3,16,7,0.0,1.0,2,1,0,0,2,0,0,9.0,11.67,2.67,49.3,35.7,-0.04,-0.0
54,박관진,50397,1997-03-26,2020,키움,23,1,0,0,0,0,1,0,0,0.1,1,1,3,1,0.0,0.0,0,1,0,0,1,0,0,27.0,6.56,6.0,17.5,71.3,-0.13,-0.36
55,박관진,50397,1997-03-26,2021,키움,24,2,0,0,0,0,0,0,0,0.2,9,6,12,5,1.0,0.0,0,3,0,1,0,0,0,81.0,21.33,12.0,5.5,20.8,-0.37,-0.05
56,뷰캐넌,50404,1989-05-11,2020,삼성,31,27,1,0,27,15,7,0,0,174.2,71,67,728,172,19.0,2.0,16,50,0,7,121,0,2,3.45,4.34,1.27,142.1,112.2,4.68,1.62
57,뷰캐넌,50404,1989-05-11,2021,삼성,32,30,1,1,30,16,5,0,0,177.0,71,61,758,173,25.0,4.0,13,59,2,2,162,0,7,3.1,3.46,1.31,145.5,130.3,4.55,1.66
58,뷰캐넌,50404,1989-05-11,2022,삼성,33,26,1,1,26,11,8,0,0,160.0,61,54,691,176,28.0,2.0,10,39,0,8,117,0,2,3.04,3.57,1.34,137.4,115.2,3.8,1.83
59,뷰캐넌,50404,1989-05-11,2023,삼성,34,30,1,0,30,12,8,0,0,188.0,71,53,784,174,26.0,2.0,4,43,1,6,139,1,7,2.54,3.01,1.15,166.9,138.1,5.1,2.12
60,박주혁,50411,2001-05-18,2022,삼성,21,8,0,0,0,0,0,0,0,6.2,3,1,29,5,0.0,0.0,1,4,0,0,3,0,1,1.35,6.19,1.35,309.2,67.0,0.1,-0.03
61,홍원표,50430,2001-03-27,2020,삼성,19,1,0,0,0,0,0,0,0,1.0,0,0,6,1,0.0,0.0,0,1,0,1,0,0,1,0.0,9.56,2.0,,50.4,0.05,0.0
62,홍원표,50430,2001-03-27,2023,삼성,22,3,0,0,0,0,0,0,0,3.2,1,1,15,2,0.0,0.0,0,2,0,0,1,0,0,2.45,4.53,1.09,172.5,91.2,0.08,0.01
63,황동재,50441,2001-11-03,2020,삼성,19,1,0,0,0,0,0,0,0,1.1,8,8,16,8,2.0,0.0,1,4,0,0,3,0,0,54.0,17.81,9.0,9.1,27.9,-0.35,-0.33
64,황동재,50441,2001-11-03,2022,삼성,21,16,0,0,13,1,3,0,0,66.1,58,52,312,91,20.0,2.0,9,31,0,0,53,1,1,7.06,4.91,1.84,59.2,84.6,-1.29,-1.89
65,황동재,50441,2001-11-03,2023,삼성,22,7,0,0,7,0,5,0,0,31.2,27,25,155,40,14.0,1.0,6,21,0,2,27,0,0,7.11,6.38,1.93,59.6,66.0,-0.58,-0.83
66,허윤동,50449,2001-06-19,2020,삼성,19,11,0,0,11,2,1,0,0,45.0,26,24,204,43,10.0,0.0,4,31,0,2,18,1,0,4.8,6.11,1.64,102.2,79.3,0.56,-0.21
67,허윤동,50449,2001-06-19,2021,삼성,20,1,0,0,1,0,1,0,0,3.2,6,5,22,8,2.0,0.0,1,1,0,1,3,0,0,12.27,6.88,2.46,36.8,66.8,-0.25,-0.38
68,허윤동,50449,2001-06-19,2022,삼성,21,12,0,0,12,4,3,0,0,55.0,43,40,264,64,13.0,0.0,8,34,0,6,36,0,2,6.55,6.1,1.78,63.8,67.8,-0.81,-0.95
69,허윤동,50449,2001-06-19,2023,삼성,22,7,0,0,1,0,1,0,0,10.2,12,12,60,16,7.0,0.0,0,12,0,0,8,0,0,10.13,5.32,2.63,41.8,77.5,-0.26,-0.44
70,이승민,50464,2000-08-26,2020,삼성,20,7,0,0,5,1,3,0,0,26.1,21,20,128,34,5.0,0.0,5,19,1,0,16,0,0,6.84,6.86,2.01,71.8,71.6,-0.09,-0.69
71,이승민,50464,2000-08-26,2021,삼성,21,11,0,0,11,1,4,0,0,35.2,34,34,173,50,6.0,1.0,6,18,0,3,22,0,0,8.58,6.05,1.91,52.6,75.1,-0.88,-1.17
72,이승민,50464,2000-08-26,2022,삼성,22,2,0,0,0,0,0,0,0,5.1,1,1,23,2,1.0,0.0,0,5,0,0,2,0,0,1.69,5.4,1.31,247.4,75.0,0.23,0.11
73,샘슨,50524,1991-10-07,2020,롯데,29,25,0,0,25,9,12,0,0,130.0,87,78,590,167,25.0,1.0,14,36,0,6,87,2,8,5.4,4.59,1.56,90.2,104.6,0.3,-1.07
74,최준용,50556,2001-10-10,2020,롯데,19,31,0,0,0,0,2,0,8,29.2,16,16,130,31,7.0,1.0,3,11,4,2,26,0,3,4.85,4.03,1.42,100.4,119.1,0.54,-0.75
75,최준용,50556,2001-10-10,2021,롯데,20,44,0,0,0,4,2,1,20,47.1,16,15,195,41,7.0,0.0,6,16,3,1,45,0,1,2.85,3.97,1.2,159.4,112.5,1.94,2.28
76,최준용,50556,2001-10-10,2022,롯데,21,68,0,0,0,3,4,14,6,71.0,35,32,303,63,13.0,0.0,10,20,3,6,80,0,4,4.06,3.89,1.17,102.6,104.4,1.29,0.33
77,최준용,50556,2001-10-10,2023,롯데,22,47,0,0,0,2,3,0,14,47.2,15,13,210,50,6.0,0.0,2,18,1,1,40,0,1,2.45,3.44,1.43,169.5,119.7,1.56,-0.22
78,스트레일리,50558,1988-12-01,2020,롯데,32,31,0,0,31,15,4,0,0,194.2,61,54,777,148,27.0,2.0,10,51,0,7,205,0,4,2.5,3.01,1.02,195.1,159.0,7.53,3.84
79,스트레일리,50558,1988-12-01,2021,롯데,33,31,0,0,31,10,12,0,0,165.2,85,75,714,162,25.0,2.0,12,66,0,8,164,1,8,4.07,3.63,1.38,111.5,122.8,3.02,0.14
80,스트레일리,50558,1988-12-01,2022,롯데,34,11,0,0,11,4,2,0,0,62.1,24,16,260,54,8.0,0.0,5,22,0,6,55,0,2,2.31,3.96,1.22,180.2,102.8,1.82,0.64
81,스트레일리,50558,1988-12-01,2023,롯데,35,16,0,0,16,3,5,0,0,80.1,43,39,364,82,8.0,1.0,6,37,0,10,70,0,4,4.37,4.43,1.48,95.2,92.8,0.81,-0.27
82,박재민,50563,2001-08-27,2021,롯데,20,5,0,0,0,0,0,0,0,2.2,5,5,13,3,1.0,0.0,1,2,0,0,2,0,0,16.88,8.96,1.88,26.9,49.9,-0.17,-0.03
83,김민기,50573,1996-02-14,2022,롯데,26,1,0,0,0,0,0,0,0,0.2,5,5,8,6,2.0,0.0,1,1,0,0,0,0,0,67.5,27.34,10.5,6.2,14.6,-0.17,-0.0
84,홍민기,50596,2001-07-20,2021,롯데,20,1,0,0,0,0,0,0,0,0.1,1,1,3,0,0.0,0.0,0,2,0,0,0,0,0,27.0,21.33,6.0,16.8,20.9,-0.04,-0.01
85,박명현,50592,2001-06-16,2020,롯데,19,2,0,0,0,0,0,0,0,0.2,2,2,6,3,1.0,0.0,0,1,0,0,0,0,1,27.0,8.06,6.0,18.0,59.2,-0.08,-0.02
86,브룩스,50636,1990-04-27,2020,KIA,30,23,1,1,23,11,4,0,0,151.1,43,42,586,131,18.0,0.0,4,24,0,3,130,1,3,2.5,2.72,1.02,192.2,177.8,7.16,3.39
87,브룩스,50636,1990-04-27,2021,KIA,31,13,0,0,13,3,5,0,0,78.0,34,29,333,93,12.0,1.0,4,16,0,1,55,0,0,3.35,3.24,1.4,132.9,137.5,2.06,0.54
88,가뇽,50640,1990-06-26,2020,KIA,30,28,0,0,28,11,8,0,0,159.2,86,77,702,162,33.0,8.0,7,64,0,9,141,0,13,4.34,3.73,1.42,110.6,129.2,2.84,-0.55
89,장재혁,50641,2001-08-02,2022,KIA,21,3,0,0,0,0,0,0,0,3.0,2,2,15,3,0.0,0.0,0,3,0,0,4,0,3,6.0,3.67,2.0,67.9,111.6,0.0,-0.02
90,최용준,50650,2001-12-19,2021,KIA,20,3,0,0,2,0,1,0,0,6.1,10,10,39,11,4.0,1.0,3,7,0,1,6,0,0,14.21,11.39,2.84,31.3,38.7,-0.4,-0.41
91,정해영,50662,2001-08-23,2020,KIA,19,47,0,0,0,5,3,1,11,37.2,15,14,169,40,5.0,1.0,2,24,2,2,32,0,7,3.35,4.46,1.7,143.5,107.5,1.47,-0.66
92,정해영,50662,2001-08-23,2021,KIA,20,64,0,0,0,5,4,34,0,65.1,18,16,272,49,10.0,0.0,5,28,1,4,49,0,1,2.2,4.25,1.18,201.8,104.7,3.79,2.88
93,정해영,50662,2001-08-23,2022,KIA,21,55,0,0,0,3,7,32,0,56.0,21,21,238,54,12.0,1.0,3,18,1,0,43,0,0,3.38,3.41,1.29,120.8,120.0,1.78,1.31
94,정해영,50662,2001-08-23,2023,KIA,22,52,0,0,0,3,4,23,1,49.1,18,16,218,53,9.0,1.0,3,20,3,1,30,0,0,2.92,4.11,1.48,141.5,99.9,1.76,0.7
95,강재민,50705,1997-04-03,2020,한화,23,50,0,0,0,1,2,1,14,49.0,16,14,203,41,5.0,0.0,3,18,1,0,57,1,2,2.57,3.07,1.2,183.9,156.0,1.99,1.84
96,강재민,50705,1997-04-03,2021,한화,24,58,0,0,0,2,1,5,13,63.1,16,15,269,51,13.0,0.0,2,26,3,5,55,1,1,2.13,3.33,1.22,205.5,133.7,3.12,1.1
97,강재민,50705,1997-04-03,2022,한화,25,56,0,0,0,4,7,7,7,51.1,26,24,232,44,5.0,1.0,7,29,8,4,39,0,1,4.21,5.05,1.42,96.2,81.0,0.83,-1.58
98,강재민,50705,1997-04-03,2023,한화,26,43,0,0,0,1,3,0,12,43.1,31,31,189,35,10.0,1.0,5,19,0,8,42,0,0,6.44,4.87,1.25,64.5,85.2,-0.37,-1.03
99,장웅정,50706,1997-04-11,2020,한화,23,2,0,0,2,0,1,0,0,7.2,3,3,35,7,1.0,0.0,0,6,0,0,5,0,1,3.52,4.6,1.7,134.3,104.3,0.25,0.09
100,장웅정,50706,1997-04-11,2021,한화,24,4,0,0,0,0,0,0,0,7.1,8,8,38,15,4.0,0.0,4,2,0,0,4,0,1,9.82,10.15,2.32,44.6,43.9,-0.13,-0.09
101,남지민,50720,2001-02-12,2021,한화,20,3,0,0,3,0,1,0,0,7.1,6,6,41,9,2.0,0.0,1,7,0,3,3,0,0,7.36,8.38,2.18,59.5,53.2,-0.13,-0.24
102,남지민,50720,2001-02-12,2022,한화,21,22,0,0,20,2,11,0,0,89.0,68,63,418,109,19.0,1.0,9,45,0,3,41,0,5,6.37,5.35,1.73,63.5,76.2,-1.22,-2.02
103,남지민,50720,2001-02-12,2023,한화,22,16,0,0,7,1,7,0,0,37.2,31,27,186,54,12.0,0.0,0,13,1,6,23,0,3,6.45,3.66,1.78,64.4,113.6,-0.52,-1.29
104,한승주,50726,2001-03-17,2020,한화,19,1,0,0,1,0,0,0,0,1.2,3,3,10,3,0.0,0.0,1,2,0,0,2,0,0,16.2,12.56,3.0,29.2,38.2,-0.14,-0.22
105,한승주,50726,2001-03-17,2022,한화,21,7,0,0,2,0,0,0,0,15.2,11,11,76,25,3.0,0.0,0,4,0,3,12,0,0,6.32,3.15,1.85,64.1,129.5,-0.08,-0.11
106,한승주,50726,2001-03-17,2023,한화,22,47,0,0,6,1,4,0,2,70.2,34,31,320,81,16.0,2.0,6,31,2,4,55,0,5,3.95,4.39,1.59,105.2,94.5,1.02,-0.76
107,신지후,50758,2001-06-12,2021,한화,20,2,0,0,0,0,0,0,0,0.1,2,0,3,0,0.0,0.0,0,1,0,0,0,0,0,0.0,12.33,3.0,,36.4,-0.09,-0.01
108,양선률,50813,1997-04-15,2020,SK,23,1,0,0,0,0,0,0,0,1.0,1,1,5,1,0.0,0.0,1,2,0,0,0,0,0,9.0,22.56,3.0,53.6,21.8,-0.01,-0.01
109,양선률,50813,1997-04-15,2021,SSG,24,1,0,0,1,0,1,0,0,1.0,3,3,10,3,0.0,0.0,0,3,0,1,1,0,1,27.0,13.33,6.0,16.6,33.8,-0.19,-0.28
110,박시후,50812,2001-05-10,2022,SSG,21,2,0,0,0,0,0,0,0,1.0,2,2,6,3,1.0,0.0,0,0,0,0,0,0,0,18.0,3.34,3.0,23.1,122.1,-0.06,-0.01
111,핀토,50835,1994-01-20,2020,SK,26,30,0,0,30,6,15,0,0,162.0,121,111,766,198,35.0,1.0,19,90,3,11,112,2,11,6.17,5.51,1.78,78.2,88.3,-0.28,-2.27
112,오원석,50859,2001-04-23,2020,SK,19,8,0,0,1,0,1,0,0,9.2,10,6,50,12,1.0,0.0,1,6,0,1,9,1,1,5.59,5.21,1.86,86.3,93.5,-0.18,-0.21
113,오원석,50859,2001-04-23,2021,SSG,20,33,0,0,21,7,6,0,2,110.0,84,72,530,125,20.0,3.0,11,73,1,10,95,1,2,5.89,5.14,1.8,76.2,88.2,-1.0,-2.81
114,오원석,50859,2001-04-23,2022,SSG,21,31,0,0,24,6,8,0,0,144.0,79,72,633,158,21.0,2.0,16,58,1,3,112,0,6,4.5,4.48,1.5,92.5,93.6,0.7,-0.91
115,오원석,50859,2001-04-23,2023,SSG,22,28,1,0,27,8,10,0,0,144.2,92,84,648,158,22.0,2.0,11,69,0,9,88,0,11,5.23,4.83,1.57,80.1,87.3,-0.03,-1.2
116,강태경,50905,2001-07-26,2021,NC,20,3,0,0,3,0,1,0,0,12.2,8,8,61,13,3.0,0.0,2,10,0,2,10,0,2,5.68,6.65,1.82,79.9,68.0,0.01,-0.36
117,안인산,50901,2001-02-27,2020,NC,19,1,0,0,0,0,0,0,0,1.0,0,0,3,0,0.0,0.0,0,0,0,0,0,0,0,0.0,3.56,0.0,,134.3,0.05,0.03
118,안인산,50901,2001-02-27,2021,NC,20,7,0,0,0,0,0,0,0,6.2,5,4,34,3,1.0,0.0,0,7,0,3,9,0,3,5.4,5.13,1.5,84.1,87.1,0.01,-0.08
119,임형원,50900,2001-09-15,2020,NC,19,1,0,0,0,0,0,0,0,0.0,1,1,1,1,0.0,0.0,0,0,0,0,0,0,0,,,,,,0.0,-0.01
120,라이트,50912,1990-01-03,2020,NC,30,29,0,0,29,11,9,0,0,157.2,87,82,696,164,27.0,2.0,12,63,0,10,125,2,5,4.68,4.35,1.44,104.4,111.0,2.01,-1.57
121,김태경,50992,2001-04-07,2020,NC,19,1,0,0,0,0,0,0,0,1.0,0,0,5,0,0.0,0.0,0,1,0,0,1,0,0,0.0,4.56,1.0,,105.4,0.07,0.04
122,김태경,50992,2001-04-07,2021,NC,20,7,0,0,3,0,0,0,0,15.0,8,8,63,11,4.0,0.0,1,9,0,1,10,0,1,4.8,4.87,1.33,94.6,92.6,0.13,-0.05
123,김태경,50992,2001-04-07,2022,NC,21,16,0,0,7,3,2,0,1,44.1,16,16,194,36,6.0,0.0,4,21,0,5,31,0,2,3.25,4.87,1.29,125.4,84.3,1.26,0.43
124,정구범,50995,2000-06-16,2022,NC,22,2,0,0,0,0,0,0,0,1.1,2,2,6,1,0.0,0.0,1,1,0,0,2,0,0,13.5,12.34,1.5,30.2,33.5,-0.05,-0.01
125,정구범,50995,2000-06-16,2023,NC,23,4,0,0,2,0,1,0,0,12.2,11,11,64,16,3.0,0.0,3,12,0,0,6,0,0,7.82,8.42,2.21,53.3,50.2,-0.23,-0.26
126,한차현,51058,1998-11-30,2021,KT,23,3,0,0,0,0,0,0,0,3.2,8,8,23,10,0.0,0.0,3,2,0,0,3,0,0,19.64,13.97,3.27,22.9,31.6,-0.22,0.0
127,지명성,51060,2002-02-15,2021,KT,19,3,0,0,0,1,0,0,0,4.0,1,0,16,1,0.0,0.0,0,1,0,1,4,0,0,0.0,2.83,0.5,,156.7,0.09,0.02
128,지명성,51060,2002-02-15,2022,KT,20,2,0,0,0,0,0,0,0,2.0,1,1,10,3,0.0,0.0,0,0,0,1,1,0,1,4.5,3.84,1.5,91.5,105.1,0.04,0.0
129,김영현,51097,2002-08-18,2023,KT,21,31,0,0,0,0,0,1,1,33.0,22,20,150,30,7.0,0.0,4,20,1,1,35,0,2,5.45,4.72,1.52,77.4,88.6,-0.01,-0.36
130,송승기,51111,2002-04-10,2022,LG,20,7,0,0,0,0,1,0,0,8.1,5,5,40,9,2.0,0.0,1,6,0,0,10,0,1,5.4,4.66,1.8,73.6,84.7,0.02,-0.31
131,송승기,51111,2002-04-10,2023,LG,21,1,0,0,0,0,0,0,0,1.0,0,0,5,1,0.0,0.0,0,1,0,0,0,0,0,0.0,6.44,2.0,,64.2,0.04,0.0
132,수아레즈,51136,1992-09-11,2021,LG,29,23,0,0,22,10,2,0,0,115.1,33,28,473,91,16.0,2.0,4,41,0,4,126,0,2,2.18,2.77,1.15,197.4,157.7,4.43,2.6
133,강효종,51143,2002-10-14,2022,LG,20,1,0,0,1,1,0,0,0,5.0,2,2,22,5,0.0,0.0,0,4,0,0,4,0,0,3.6,4.14,1.8,110.4,99.0,0.09,0.05
