,이름,id,생년월일,연도,팀명,나이,P,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
76,러셀,50350,1994-01-23,2023,키움,29,SS,59,239,220,20,63,11,1,4,88,42,1,0,17,1,1,39,5,0,1,0.286,0.339,0.4,0.739,0.345,110.6,1.36,1.45
80,박주홍,50357,2001-04-16,2023,키움,22,1B,27,57,50,5,6,0,1,0,8,2,1,0,5,0,0,26,0,0,2,0.12,0.193,0.16,0.353,0.177,-3.7,-0.58,-0.55
82,김동혁,50360,2001-12-27,2023,키움,22,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
87,신준우,50312,2001-06-21,2023,키움,22,SS,24,19,18,4,2,0,0,0,2,0,0,0,0,1,0,5,0,0,0,0.111,0.158,0.111,0.269,0.14,-28.5,-0.17,-0.23
94,김지찬,50458,2001-03-08,2023,삼성,22,2B,99,355,291,59,85,4,2,1,96,18,13,1,48,9,0,36,1,7,0,0.292,0.408,0.33,0.738,0.358,116.8,2.51,0.3
98,황성빈,50500,1997-12-19,2023,롯데,26,LF,74,191,170,22,36,5,2,0,45,8,9,5,12,1,0,27,1,8,0,0.212,0.268,0.265,0.533,0.247,41.0,-0.61,-0.86
102,홍종표,50600,2000-05-02,2023,KIA,23,2B,40,12,7,10,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0.0,0.364,0.0,0.364,0.245,41.1,0.03,0.08
107,정해영,50662,2001-08-23,2023,KIA,22,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
114,박정현,50709,2001-07-27,2023,한화,22,SS,53,113,105,12,19,6,0,2,31,4,0,0,3,2,0,36,2,3,0,0.181,0.218,0.295,0.513,0.234,34.6,-0.31,-1.52
116,강재민,50705,1997-04-03,2023,한화,26,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
119,최인호,50707,2000-01-30,2023,한화,23,LF,41,148,131,23,39,5,3,2,56,11,1,0,10,4,0,22,2,2,1,0.298,0.363,0.427,0.791,0.364,124.5,1.0,0.33
124,전의산,50820,2000-11-25,2023,SSG,23,1B,56,153,134,11,27,6,0,4,45,21,0,2,15,3,0,40,1,0,1,0.201,0.294,0.336,0.63,0.299,77.3,-0.14,0.19
130,최지훈,50854,1997-07-23,2023,SSG,26,CF,117,503,462,65,124,19,8,2,165,30,21,2,29,3,0,50,3,8,1,0.268,0.315,0.357,0.672,0.312,90.5,2.03,-1.13
133,류효승,50868,1996-07-16,2023,SSG,27,DH,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.25,0.0,0.25,0.19,0.9,-0.04,-0.12
136,김한별,50902,2001-01-18,2023,NC,22,SS,79,105,97,8,21,0,1,0,23,4,0,3,4,2,0,23,6,2,0,0.216,0.262,0.237,0.499,0.24,39.6,-0.41,-0.55
137,박영빈,50906,1997-07-16,2023,NC,26,DH,41,17,14,11,1,1,0,0,2,0,4,2,1,0,0,6,0,2,0,0.071,0.133,0.143,0.276,0.121,-43.1,-0.27,-0.19
150,김영현,51097,2002-08-18,2023,KT,21,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
158,안재석,51203,2002-02-15,2023,두산,21,SS,27,68,64,8,12,2,1,1,19,5,2,0,3,0,0,12,0,0,1,0.188,0.221,0.297,0.518,0.239,39.1,-0.15,-0.96
160,최승용,51264,2001-05-11,2023,두산,22,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
165,김성진,51301,1997-11-14,2023,키움,26,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
169,김시앙,51303,2001-10-31,2023,키움,22,C,33,82,76,6,17,1,0,0,18,7,0,0,3,3,0,18,4,0,0,0.224,0.281,0.237,0.517,0.257,50.7,-0.08,-1.51
175,김휘집,51344,2002-01-01,2023,키움,21,SS,110,435,369,46,92,22,0,8,138,51,0,0,48,5,0,97,8,6,7,0.249,0.338,0.374,0.712,0.331,101.9,2.26,-0.79
177,김준형,51393,2002-07-12,2023,키움,21,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
179,김동진,51403,1996-12-18,2023,삼성,27,2B,44,137,122,14,32,7,0,0,39,8,3,0,9,1,0,26,4,3,2,0.262,0.313,0.32,0.633,0.296,74.9,0.21,-0.86
182,김현준,51417,2002-10-11,2023,삼성,21,CF,109,479,433,62,119,10,6,3,150,46,5,5,30,5,0,84,5,8,3,0.275,0.327,0.346,0.673,0.315,87.1,1.26,0.31
183,이승현,51454,2002-05-19,2023,삼성,21,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
186,피렐라,51463,1989-11-21,2023,삼성,34,LF,139,605,557,66,159,28,1,16,237,80,6,4,42,4,5,69,20,0,2,0.285,0.339,0.425,0.764,0.352,110.8,2.44,0.03
188,손성빈,51528,2002-01-14,2023,롯데,21,C,45,80,76,13,20,3,0,1,26,15,0,0,2,0,0,10,3,2,0,0.263,0.282,0.342,0.624,0.285,68.2,0.13,0.04
194,김선우,51604,2001-01-18,2023,KIA,22,C,5,7,7,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.143,0.143,0.143,0.286,0.136,-31.2,-0.07,-0.2
197,조현진,51701,2002-09-10,2023,NC,21,SS,10,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.2,0.2,0.2,0.4,0.191,7.0,-0.03,-0.19
199,장지승,51706,1998-07-04,2023,한화,25,,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-123.9,-0.07,-0.02
206,박형준,51803,2001-06-28,2023,롯데,22,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
211,추신수,51817,1982-07-13,2023,SSG,41,DH,112,462,382,65,96,17,1,12,151,40,6,4,65,13,1,79,8,0,2,0.251,0.377,0.395,0.772,0.367,123.0,1.96,0.89
213,조형우,51865,2002-04-04,2023,SSG,21,C,62,133,119,9,22,4,1,2,34,12,0,0,8,1,0,25,2,4,1,0.185,0.24,0.286,0.526,0.241,39.9,-0.21,-0.49
215,고명준,51868,2002-07-08,2023,SSG,21,1B,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,-123.9,-0.1,-0.05
219,김주원,51907,2002-07-30,2023,NC,21,SS,127,474,403,56,94,9,2,10,137,54,15,3,44,15,1,106,6,8,4,0.233,0.328,0.34,0.668,0.314,88.1,1.96,-0.27
222,오장한,51991,2002-05-20,2023,NC,21,RF,3,8,7,2,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0.143,0.25,0.143,0.393,0.21,18.6,-0.04,-0.06
225,오태양,51996,2002-04-25,2023,NC,21,CF,21,3,3,4,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,,-0.09,-0.09
227,한재승,51994,2001-11-21,2023,NC,22,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
228,김병준,52002,2003-07-03,2023,KT,20,CF,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,,-0.0,-0.08
230,알포드,52009,1994-07-20,2023,KT,29,LF,133,547,491,83,142,31,3,15,224,70,17,4,47,6,1,140,6,0,3,0.289,0.357,0.456,0.813,0.375,126.9,3.28,0.61
233,박영현,52060,2003-10-11,2023,KT,20,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
238,박수종,52305,1999-02-25,2023,키움,24,RF,23,50,45,7,19,1,2,0,24,3,0,0,3,1,0,6,1,0,1,0.422,0.46,0.533,0.993,0.458,184.6,0.73,0.2
241,박찬혁,52348,2003-04-25,2023,키움,20,LF,48,167,154,13,31,7,0,1,41,8,0,0,10,3,0,41,1,0,0,0.201,0.264,0.266,0.53,0.257,50.8,-0.56,-1.55
244,이명종,52397,2002-12-05,2023,키움,21,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
245,김상민,52402,2003-12-06,2023,삼성,20,LF,8,13,12,3,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0.083,0.154,0.083,0.237,0.129,-36.5,-0.15,-0.13
247,이재현,52415,2003-02-04,2023,삼성,20,SS,143,538,458,61,114,19,2,12,173,60,5,4,52,6,0,89,9,16,6,0.249,0.33,0.378,0.707,0.323,91.8,1.85,0.57
250,김영웅,52430,2003-08-24,2023,삼성,20,3B,55,103,91,11,17,6,0,2,29,12,1,0,8,0,0,28,2,3,1,0.187,0.25,0.319,0.569,0.258,48.8,-0.11,-0.49
252,김서준,52460,2003-09-01,2023,삼성,20,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
253,김동혁,52504,2000-09-15,2023,롯데,23,RF,15,9,7,3,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0.0,0.222,0.0,0.222,0.162,-15.0,-0.05,-0.08
258,렉스,52547,1993-11-12,2023,롯데,30,RF,55,234,203,20,50,4,2,4,70,30,0,1,28,1,2,54,3,0,2,0.246,0.338,0.345,0.682,0.323,94.0,0.34,0.59
261,윤동희,52591,2003-09-18,2023,롯데,20,RF,107,423,387,45,111,18,1,2,137,41,3,6,28,1,0,69,10,2,5,0.287,0.333,0.354,0.687,0.324,93.0,0.95,-1.05
263,김도영,52605,2003-10-02,2023,KIA,20,3B,84,385,340,72,103,20,5,7,154,47,25,4,38,1,1,62,14,2,4,0.303,0.371,0.453,0.824,0.378,133.4,3.7,0.35
265,소크라테스,52630,1992-09-06,2023,KIA,31,CF,142,608,547,91,156,31,3,20,253,96,15,6,52,1,4,80,13,0,8,0.285,0.344,0.463,0.806,0.366,125.7,4.58,1.92
266,황동하,52641,2002-07-30,2023,KIA,21,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
267,윤도현,52667,2003-05-07,2023,KIA,20,3B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.01,-0.01
268,이상혁,52704,2001-09-14,2023,한화,22,CF,7,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,-123.9,-0.07,0.04
270,유상빈,52705,2000-05-09,2023,한화,23,DH,3,8,6,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0,0.25,0.0,0.25,0.186,0.4,-0.08,-0.11
272,박준영,52731,2003-03-02,2023,한화,20,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
275,권광민,52769,1997-12-12,2023,한화,26,LF,66,81,73,11,11,1,1,2,20,9,2,0,6,1,0,24,2,1,0,0.151,0.225,0.274,0.499,0.235,36.1,-0.3,-0.84
280,류현인,53036,2000-11-08,2023,KT,23,3B,17,24,23,6,3,0,0,0,3,3,0,0,1,0,0,4,0,0,0,0.13,0.167,0.13,0.297,0.15,-24.0,-0.22,-0.41
281,정준영,53058,2004-01-26,2023,KT,19,CF,34,55,48,6,14,2,0,0,16,6,0,0,3,0,0,11,1,4,0,0.292,0.333,0.333,0.667,0.296,73.6,0.07,-0.36
282,손민석,53057,2004-06-21,2023,KT,19,2B,9,12,10,2,1,0,0,0,1,1,0,0,1,1,0,3,0,0,0,0.1,0.25,0.1,0.35,0.204,12.6,-0.06,-0.14
283,송대현,53105,2000-02-03,2023,LG,23,SS,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-123.9,-0.07,0.0
284,오스틴,53123,1993-10-14,2023,LG,30,1B,139,583,520,87,163,29,4,23,269,95,7,3,53,3,2,75,11,0,7,0.313,0.376,0.517,0.893,0.405,154.4,5.22,2.92
285,박명근,53139,2004-03-27,2023,LG,19,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
286,김범석,53144,2004-05-21,2023,LG,19,1B,10,29,27,3,3,1,0,1,7,4,0,0,1,0,0,5,1,0,1,0.111,0.138,0.259,0.397,0.176,-0.2,-0.27,-0.08
287,김동규,53164,2004-07-09,2023,LG,19,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
288,로하스,53211,1993-02-24,2023,두산,30,LF,122,464,403,52,102,24,4,19,191,65,0,1,55,3,2,68,5,0,3,0.253,0.345,0.474,0.819,0.372,134.3,3.04,1.21
289,송재선,53303,2000-06-30,2023,키움,23,RF,5,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.318,93.7,0.0,-0.01
290,이승원,53302,2004-07-02,2023,키움,19,SS,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-123.9,-0.11,-0.08
291,김건희,53312,2004-11-07,2023,키움,19,1B,9,13,11,0,2,0,0,0,2,0,0,0,2,0,0,4,1,0,0,0.182,0.308,0.182,0.49,0.259,52.6,-0.04,-0.14
292,도슨,53327,1995-05-19,2023,키움,28,CF,57,261,229,37,77,14,2,3,104,29,9,2,18,9,0,41,3,0,5,0.336,0.399,0.454,0.853,0.397,145.3,2.44,1.23
293,김동헌,53344,2004-07-15,2023,키움,19,C,102,242,211,22,51,5,2,2,66,17,0,0,17,8,0,55,7,3,3,0.242,0.318,0.313,0.631,0.301,80.4,0.74,-1.18
294,후라도,53375,1996-01-30,2023,키움,27,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
295,김재상,53400,2004-07-26,2023,삼성,19,,17,22,20,1,3,0,0,1,6,2,0,0,2,0,0,4,1,0,0,0.15,0.227,0.3,0.527,0.248,40.5,-0.04,-0.26
296,류승민,53404,2004-10-11,2023,삼성,19,RF,24,57,52,5,11,3,0,0,14,5,0,0,2,1,0,19,0,2,0,0.212,0.255,0.269,0.524,0.243,39.6,-0.28,-0.26
297,강준서,53460,2000-10-13,2023,삼성,23,LF,10,15,14,2,3,1,0,0,4,0,0,1,1,0,0,2,0,0,0,0.214,0.267,0.286,0.552,0.265,54.0,-0.06,-0.15
298,구드럼,53506,1992-02-28,2023,롯데,31,3B,50,201,173,16,51,14,1,0,67,28,0,0,23,1,1,46,6,0,4,0.295,0.373,0.387,0.76,0.357,114.6,1.33,0.06
299,윤수녕,53505,2000-03-01,2023,롯데,23,RF,3,4,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5,0.239,35.9,-0.02,-0.05
300,김민석,53554,2004-05-09,2023,롯데,19,CF,129,454,400,53,102,24,0,3,135,39,16,3,31,6,1,112,6,12,5,0.255,0.315,0.338,0.652,0.301,77.7,1.01,-2.04
301,정대선,53568,2004-11-16,2023,롯데,19,2B,19,47,40,5,6,1,0,0,7,6,0,0,2,2,0,8,0,1,2,0.15,0.217,0.175,0.392,0.193,5.4,-0.33,-0.27
302,서동욱,53569,2000-03-24,2023,롯데,23,RF,13,20,17,2,2,1,0,0,3,0,0,0,3,0,0,5,1,0,0,0.118,0.25,0.176,0.427,0.224,25.5,-0.12,-0.12
303,배영빈,53587,2000-06-26,2023,롯데,23,SS,18,18,16,2,5,2,0,0,7,0,1,0,1,0,0,2,0,1,0,0.313,0.353,0.438,0.79,0.348,107.8,0.18,0.03
304,오그레디,53712,1992-05-17,2023,한화,31,LF,22,86,80,3,10,3,0,0,13,8,1,0,5,0,0,40,0,0,1,0.125,0.174,0.163,0.337,0.167,-10.4,-0.9,-1.42
305,윌리엄스,53716,1993-09-08,2023,한화,30,LF,68,273,258,29,63,14,0,9,104,45,1,1,8,4,0,63,6,0,3,0.244,0.275,0.403,0.678,0.31,86.0,0.32,0.0
306,김서현,53754,2004-05-31,2023,한화,19,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
307,문현빈,53764,2004-04-20,2023,한화,19,CF,137,481,428,47,114,22,2,5,155,49,5,1,33,6,2,84,7,9,5,0.266,0.324,0.362,0.686,0.316,90.8,1.55,-0.21
308,이민준,53795,2004-02-02,2023,한화,19,SS,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.364,121.2,0.02,0.03
309,에레디아,53827,1991-01-31,2023,SSG,32,LF,122,523,473,76,153,29,0,12,218,76,12,8,39,9,4,75,13,1,1,0.323,0.385,0.461,0.846,0.391,140.7,4.12,3.78
310,김건웅,53844,2000-05-08,2023,SSG,23,1B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-123.9,-0.08,-0.02
311,김정민,53865,2004-03-07,2023,SSG,19,RF,8,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0,0.477,199.3,0.03,-0.0
312,마틴,53955,1995-09-05,2023,NC,28,CF,118,503,435,55,123,20,2,17,198,90,15,3,57,1,2,107,8,0,10,0.283,0.36,0.455,0.815,0.373,126.5,3.48,1.0
313,박한결,53992,2004-04-26,2023,NC,19,LF,12,18,15,3,5,1,0,1,9,5,0,0,3,0,0,7,0,0,0,0.333,0.444,0.6,1.044,0.471,191.8,0.25,0.31
323,이승현,60146,1991-11-20,2023,삼성,32,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
351,문성현,60336,1991-11-09,2023,키움,32,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
394,정훈,60523,1987-07-18,2023,롯데,36,1B,80,233,201,40,56,14,0,6,88,31,2,0,26,0,1,39,4,4,2,0.279,0.358,0.438,0.796,0.361,120.4,1.3,0.48
413,오태곤,60558,1991-11-18,2023,SSG,32,1B,123,305,272,37,65,14,1,7,102,28,20,1,18,4,0,67,6,8,3,0.239,0.293,0.375,0.668,0.302,80.4,0.43,-0.38
423,이상호,60566,1989-02-05,2023,KT,34,2B,63,60,54,15,8,1,0,0,9,5,2,0,2,0,0,9,2,4,0,0.148,0.179,0.167,0.345,0.158,-18.6,-0.57,-0.22
479,이태양,60768,1990-07-03,2023,한화,33,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
515,유강남,61102,1992-07-15,2023,롯데,31,C,121,403,352,45,92,13,0,10,135,55,1,1,37,8,1,64,13,2,4,0.261,0.342,0.384,0.725,0.339,106.1,2.3,0.65
537,이천웅,61186,1988-10-20,2023,LG,35,,4,3,3,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.955,519.2,0.16,0.23
575,양현,61268,1992-08-23,2023,키움,31,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
598,고종욱,61353,1989-01-11,2023,KIA,34,LF,114,286,270,35,80,17,0,3,106,39,2,2,14,0,0,58,3,0,2,0.296,0.329,0.393,0.721,0.337,104.3,0.91,0.48
609,김대우,61365,1988-11-21,2023,삼성,35,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
625,김헌곤,61404,1988-11-09,2023,삼성,35,,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,-123.9,-0.1,-0.04
669,홍건희,61643,1992-09-29,2023,두산,31,P,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
734,서진용,61895,1992-10-02,2023,SSG,31,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
783,류지혁,62234,1994-01-13,2023,"KIA,삼성",29,3B,132,522,455,63,122,11,1,2,141,45,26,2,46,6,1,73,12,10,5,0.268,0.34,0.31,0.65,0.309,84.4,1.38,-1.92
784,류지혁,62234,1994-01-13,2023,KIA,29,3B,66,253,220,28,59,6,1,0,67,17,4,2,27,3,1,43,5,2,1,0.268,0.355,0.305,0.659,0.32,92.6,0.82,-1.37
785,류지혁,62234,1994-01-13,2023,삼성,29,3B,66,269,235,35,63,5,0,2,74,28,22,0,19,3,0,30,7,8,4,0.268,0.326,0.315,0.641,0.299,76.6,0.68,-0.55
798,박세혁,62244,1990-01-09,2023,NC,33,C,88,283,242,35,51,9,3,6,84,32,1,1,30,4,0,43,3,6,1,0.211,0.307,0.347,0.654,0.304,80.2,0.92,-1.37
816,김재현,62332,1993-03-18,2023,키움,30,C,8,10,9,0,1,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0.111,0.111,0.111,0.222,0.095,-58.7,-0.21,-0.33
833,김태훈,62360,1992-03-02,2023,삼성,31,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
845,구자욱,62404,1993-02-12,2023,삼성,30,RF,119,515,453,65,152,37,1,11,224,71,12,4,53,4,2,81,5,2,3,0.336,0.407,0.494,0.902,0.414,153.2,4.78,3.58
867,박해민,62415,1990-02-24,2023,LG,33,CF,144,558,485,80,138,14,2,6,174,59,26,12,45,3,0,74,7,24,1,0.285,0.348,0.359,0.707,0.323,95.7,1.92,-0.26
876,김원중,62528,1993-06-14,2023,롯데,30,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
888,신본기,62556,1989-03-21,2023,KT,34,SS,40,75,54,8,11,2,0,1,16,7,0,1,14,2,0,8,3,1,4,0.204,0.365,0.296,0.661,0.322,92.1,0.19,-0.34
898,김준태,62558,1994-07-31,2023,KT,29,C,69,136,115,10,24,4,0,3,37,23,1,0,19,1,0,32,3,1,0,0.209,0.326,0.322,0.648,0.312,85.2,0.37,-0.43
906,임준섭,62611,1989-07-16,2023,SSG,34,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
934,하주석,62700,1994-02-25,2023,한화,29,SS,25,38,35,4,4,1,0,0,5,2,0,0,2,1,0,10,0,0,0,0.114,0.184,0.143,0.327,0.169,-9.6,-0.27,-0.36
962,박승욱,62802,1992-12-04,2023,롯데,31,2B,123,338,290,37,83,18,3,0,107,30,15,4,35,1,0,87,5,11,1,0.286,0.364,0.369,0.733,0.339,101.9,1.83,0.45
975,김민식,62864,1989-06-28,2023,SSG,34,C,122,318,266,28,58,9,1,5,84,34,0,0,31,2,1,57,6,17,2,0.218,0.302,0.316,0.618,0.279,65.1,0.43,-1.23
976,문승원,62869,1989-11-28,2023,SSG,34,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
984,최항,62884,1994-01-03,2023,SSG,29,1B,21,35,28,3,8,1,0,1,12,6,0,0,5,0,0,12,1,1,1,0.286,0.382,0.429,0.811,0.366,121.6,0.13,0.06
996,한유섬,62895,1989-08-09,2023,SSG,34,RF,109,388,333,29,91,15,2,7,131,55,2,1,34,12,1,81,3,2,7,0.273,0.355,0.393,0.748,0.349,112.5,1.59,1.14
1016,박민우,62907,1993-02-06,2023,NC,30,2B,124,509,452,76,143,20,7,2,183,46,26,7,40,9,3,57,13,5,3,0.316,0.381,0.405,0.786,0.366,124.2,4.05,1.52
1042,강진성,62925,1993-10-19,2023,"두산,SSG",30,1B,58,145,134,10,35,6,1,3,52,17,0,0,6,3,0,20,2,1,1,0.261,0.306,0.388,0.694,0.32,93.4,0.25,-0.52
1043,강진성,62925,1993-10-19,2023,SSG,30,1B,55,142,131,10,34,6,1,3,51,17,0,0,6,3,0,20,2,1,1,0.26,0.305,0.389,0.694,0.321,93.3,0.43,-0.52
1044,강진성,62925,1993-10-19,2023,두산,30,1B,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.318,90.3,0.01,-0.0
1062,노진혁,62931,1989-07-15,2023,롯데,34,SS,113,390,334,43,86,26,1,4,126,51,7,2,45,3,1,84,3,4,4,0.257,0.347,0.377,0.724,0.338,103.0,2.15,2.31
1073,김성욱,62934,1993-05-01,2023,NC,30,LF,93,204,179,28,40,10,0,6,68,16,6,1,16,5,0,63,7,3,1,0.223,0.304,0.38,0.683,0.315,87.5,0.6,-0.52
1084,나성범,62947,1989-10-03,2023,KIA,34,RF,58,253,222,51,81,12,1,18,149,57,0,0,26,1,0,36,1,0,4,0.365,0.427,0.671,1.098,0.485,208.2,3.69,2.26
1087,이형범,62951,1994-02-27,2023,두산,29,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
1115,강승호,63123,1994-02-09,2023,두산,29,2B,127,458,418,51,111,18,6,7,162,59,13,6,27,6,0,109,12,4,3,0.266,0.317,0.388,0.705,0.326,97.9,1.66,0.63
