이름,id,연도,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,삼진,병살타,장타율,출루율,실책,생년월일
김인식,40006,1983,MBC   ,0.263,100,416,380,48,100,16,2,1,123,30,14,10,11,13,18,0,0.000,0.000,9,1953-11-09
김인식,40006,1984,MBC   ,0.258,100,432,387,44,100,13,8,3,138,28,8,7,22,9,24,5,0.000,0.000,12,1953-11-09
김인식,40006,1985,MBC,0.275,110,455,404,48,111,14,0,2,131,16,17,11,30,8,22,8,0.000,0.000,17,1953-11-09
김인식,40006,1986,MBC,0.282,108,343,309,36,87,13,1,2,108,29,12,5,17,6,15,6,0.000,0.000,7,1953-11-09
김인식,40006,1987,MBC,0.215,108,309,288,24,62,1,0,0,63,19,7,3,7,3,15,11,0.000,0.000,16,1953-11-09
김인식,40006,1988,MBC,0.144,57,100,90,13,13,1,0,0,14,6,6,3,3,3,2,1,0.000,0.000,3,1953-11-09
최정우,40003,1982,MBC   ,0.214,33,65,56,6,12,0,0,0,12,4,3,2,7,0,12,1,0.000,0.000,1,1955-06-02
최정우,40003,1983,MBC   ,0.169,46,76,71,10,12,2,1,0,16,3,2,0,5,0,13,2,0.000,0.000,1,1955-06-02
최정우,40003,1984,MBC   ,0.000,29,15,14,5,0,0,0,0,0,0,1,0,1,0,4,0,0.000,0.000,0,1955-06-02
박종훈,40007,1983,OB    ,0.312,97,427,375,53,117,19,6,3,157,24,7,6,38,3,28,3,0.000,0.000,3,1959-06-12
박종훈,40007,1984,OB    ,0.306,100,315,271,35,83,11,2,7,119,37,9,5,26,5,18,5,0.000,0.000,1,1959-06-12
박종훈,40007,1985,OB,0.342,103,395,348,48,119,19,4,6,164,51,17,8,29,4,16,2,0.000,0.000,3,1959-06-12
박종훈,40007,1986,OB,0.259,92,372,320,47,83,11,2,6,116,28,12,8,35,5,20,2,0.000,0.000,2,1959-06-12
박종훈,40007,1987,OB,0.284,80,294,264,33,75,10,1,6,105,34,5,3,22,0,15,4,0.000,0.000,2,1959-06-12
박종훈,40007,1988,OB,0.262,103,381,336,34,88,11,1,3,110,36,11,5,33,1,20,6,0.000,0.000,1,1959-06-12
박종훈,40007,1989,OB,0.254,107,334,295,31,75,13,1,1,93,21,10,5,30,3,28,6,0.000,0.000,2,1959-06-12
문상준,50007,2022,KT,0.333,2,3,3,0,1,1,0,0,2,0,0,0,0,0,2,0,0.667,0.333,0,2001-03-14
문상준,50007,2023,KT,0.200,2,5,5,1,1,0,0,0,1,0,0,0,0,0,4,0,0.200,0.200,1,2001-03-14
강현우,50066,2020,KT,0.200,26,32,30,2,6,2,0,1,11,3,0,0,2,0,11,1,0.367,0.250,1,2001-04-13
강현우,50066,2023,KT,0.194,53,111,103,11,20,6,0,1,29,11,0,1,6,1,17,3,0.282,0.245,2,2001-04-13
천성호,50054,2020,KT,0.203,66,77,69,9,14,3,0,0,17,1,1,1,7,1,15,0,0.246,0.286,3,1997-10-30
천성호,50054,2021,KT,0.286,41,47,42,13,12,1,0,0,13,4,1,0,3,2,9,0,0.310,0.362,3,1997-10-30
손호영,50150,2020,LG,0.367,23,31,30,9,11,2,0,0,13,3,5,0,1,0,6,2,0.433,0.387,2,1994-08-23
손호영,50150,2021,LG,0.100,8,12,10,2,1,0,0,0,1,0,0,0,1,1,2,0,0.100,0.250,2,1994-08-23
손호영,50150,2022,LG,0.257,36,82,74,13,19,0,2,3,32,14,0,3,6,0,14,2,0.432,0.309,5,1994-08-23
손호영,50150,2023,LG,0.205,27,45,44,8,9,0,0,1,12,6,2,1,1,0,12,5,0.273,0.222,5,1994-08-23
라모스,50165,2020,LG,0.278,117,494,431,74,120,17,2,38,255,86,2,0,55,4,136,7,0.592,0.362,6,1994-12-28
라모스,50165,2021,LG,0.243,51,205,185,14,45,7,1,8,78,25,0,0,18,2,43,2,0.422,0.317,4,1994-12-28
안권수,50202,2020,두산,0.270,68,41,37,10,10,0,0,0,10,3,2,1,2,0,5,1,0.270,0.300,0,1993-04-19
안권수,50202,2021,두산,0.238,87,47,42,17,10,0,1,0,12,4,3,0,3,0,3,0,0.286,0.289,0,1993-04-19
안권수,50202,2022,두산,0.297,76,267,239,43,71,7,2,0,82,20,3,4,26,1,40,6,0.343,0.368,7,1993-04-19
안권수,50202,2023,롯데,0.269,95,309,268,42,72,6,1,2,86,29,16,7,30,1,40,4,0.321,0.341,3,1993-04-19
이주형,50167,2021,LG,0.125,14,19,16,3,2,0,0,0,2,0,2,1,1,1,7,0,0.125,0.222,0,2001-04-02
이주형,50167,2023,키움,0.326,69,243,215,32,70,13,4,6,109,36,3,1,19,5,53,4,0.507,0.390,0,2001-04-02
권휘,50203,2020,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2000-12-07
권휘,50203,2021,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2000-12-07
박지훈,50204,2020,두산,0.000,10,2,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0,2000-09-07
박지훈,50204,2021,두산,0.333,34,14,12,6,4,1,0,0,5,2,3,1,1,1,3,0,0.417,0.429,0,2000-09-07
박지훈,50204,2023,두산,0.211,22,21,19,2,4,1,0,0,5,2,1,0,2,0,7,0,0.263,0.286,0,2000-09-07
오명진,50208,2020,두산,0.000,5,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0,2001-09-04
오명진,50208,2021,두산,0.000,2,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0,2001-09-04
양찬열,50293,2020,두산,0.227,17,26,22,5,5,0,0,0,5,3,0,0,3,1,2,0,0.227,0.346,0,1997-05-25
양찬열,50293,2022,두산,0.244,41,94,82,15,20,4,0,3,33,12,0,0,11,0,23,2,0.402,0.333,1,1997-05-25
양찬열,50293,2023,두산,0.239,44,99,88,15,21,2,2,0,27,6,3,2,9,1,23,1,0.307,0.313,0,1997-05-25
조제영,50296,2020,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2001-02-12
김병휘,50304,2020,키움,0.000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0,2001-02-16
김병휘,50304,2021,키움,0.200,13,11,10,5,2,0,0,0,2,0,0,0,1,0,2,0,0.200,0.273,1,2001-02-16
김병휘,50304,2023,키움,0.143,10,21,21,0,3,1,0,0,4,1,0,0,0,0,8,0,0.190,0.143,1,2001-02-16
러셀,50350,2020,키움,0.254,65,271,244,22,62,14,0,2,82,31,2,0,22,2,37,6,0.336,0.317,12,1994-01-23
러셀,50350,2023,키움,0.286,59,239,220,20,63,11,1,4,88,42,1,0,17,1,39,5,0.400,0.339,3,1994-01-23
박주홍,50357,2020,키움,0.250,13,25,24,0,6,2,0,0,8,1,0,1,1,0,10,0,0.333,0.280,1,2001-04-16
박주홍,50357,2021,키움,0.106,23,56,47,4,5,2,0,0,7,3,1,1,9,0,21,1,0.149,0.250,0,2001-04-16
박주홍,50357,2022,키움,0.224,21,57,49,4,11,1,1,0,14,3,0,0,8,0,18,1,0.286,0.333,0,2001-04-16
박주홍,50357,2023,키움,0.122,27,57,49,5,6,0,1,0,8,2,1,0,5,0,26,0,0.163,0.196,0,2001-04-16
모터,50300,2020,키움,0.114,10,37,35,4,4,0,0,1,7,3,0,0,1,0,10,0,0.200,0.135,2,1989-09-18
문찬종,50365,2020,키움,0.000,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0,1991-03-23
문찬종,50365,2021,키움,0.143,13,17,14,0,2,0,0,0,2,1,0,0,3,0,4,1,0.143,0.294,0,1991-03-23
김동혁,50360,2020,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2001-12-27
김동혁,50360,2023,키움,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2001-12-27
신준우,50312,2021,키움,0.167,56,51,42,7,7,3,0,0,10,4,0,1,4,3,21,1,0.238,0.280,5,2001-06-21
신준우,50312,2022,키움,0.140,76,54,43,6,6,3,0,0,9,0,0,0,7,2,19,0,0.209,0.288,2,2001-06-21
신준우,50312,2023,키움,0.111,24,19,18,4,2,0,0,0,2,0,0,0,0,1,5,0,0.111,0.158,2,2001-06-21
김동욱,50393,2021,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-05-16
박관진,50397,2021,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-03-26
박주혁,50411,2022,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2001-05-18
살라디노,50468,2020,삼성,0.280,44,163,132,26,37,8,0,6,63,27,6,1,23,7,41,3,0.477,0.411,5,1989-07-20
김지찬,50458,2020,삼성,0.232,135,287,254,47,59,5,1,1,69,13,21,4,24,2,44,1,0.272,0.301,10,2001-03-08
김지찬,50458,2021,삼성,0.274,120,336,296,50,81,6,0,1,90,26,23,4,27,0,31,0,0.304,0.331,19,2001-03-08
김지찬,50458,2022,삼성,0.280,113,429,361,62,101,7,6,0,120,25,25,4,45,2,64,2,0.332,0.361,22,2001-03-08
김지찬,50458,2023,삼성,0.292,99,355,291,59,85,4,2,1,96,18,13,1,48,9,36,1,0.330,0.408,16,2001-03-08
팔카,50469,2020,삼성,0.209,51,217,196,17,41,7,0,8,72,23,2,0,18,0,58,5,0.367,0.272,2,1991-10-28
황성빈,50500,2022,롯데,0.294,102,353,320,62,94,12,4,1,117,16,10,12,22,2,55,2,0.366,0.341,7,1997-12-19
황성빈,50500,2023,롯데,0.212,74,191,170,22,36,5,2,0,45,8,9,5,12,1,27,1,0.265,0.268,1,1997-12-19
마차도,50506,2020,롯데,0.280,144,560,486,79,136,31,1,12,205,67,15,1,54,8,60,20,0.422,0.356,10,1992-02-22
마차도,50506,2021,롯데,0.279,134,539,466,83,130,21,1,5,168,58,8,5,58,4,65,9,0.361,0.359,11,1992-02-22
홍종표,50600,2020,KIA,0.250,40,88,80,7,20,3,0,0,23,7,0,2,4,0,13,1,0.288,0.282,0,2000-05-02
홍종표,50600,2023,KIA,0.000,40,12,7,10,0,0,0,0,0,0,0,0,3,1,1,0,0.000,0.364,0,2000-05-02
박민,50657,2020,KIA,0.000,6,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0.000,0.500,1,2001-06-05
박민,50657,2021,KIA,0.171,18,38,35,3,6,1,0,0,7,3,0,1,2,1,10,1,0.200,0.237,2,2001-06-05
박민,50657,2022,KIA,0.000,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0,2001-06-05
정해영,50662,2021,KIA,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2001-08-23
정해영,50662,2023,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2001-08-23
임종찬,50704,2020,한화,0.231,52,119,108,5,25,5,0,1,33,12,0,1,9,1,38,2,0.306,0.297,0,2001-09-28
임종찬,50704,2021,한화,0.153,42,146,131,9,20,5,0,1,28,8,0,1,12,1,49,2,0.214,0.229,1,2001-09-28
임종찬,50704,2022,한화,0.189,20,57,53,2,10,1,0,2,17,6,0,1,3,0,23,1,0.321,0.228,1,2001-09-28
박정현,50709,2020,한화,0.279,30,64,61,6,17,3,0,1,23,9,0,0,3,0,17,2,0.377,0.313,1,2001-07-27
박정현,50709,2021,한화,0.196,33,120,107,10,21,4,0,0,25,9,1,0,9,0,32,1,0.234,0.256,6,2001-07-27
박정현,50709,2022,한화,0.244,81,220,205,23,50,4,1,3,65,19,6,1,12,1,56,2,0.317,0.289,8,2001-07-27
박정현,50709,2023,한화,0.181,53,113,105,12,19,6,0,2,31,4,0,0,3,2,36,2,0.295,0.218,9,2001-07-27
최인호,50707,2020,한화,0.236,47,135,127,8,30,0,0,0,30,8,0,0,4,1,34,3,0.236,0.261,0,2000-01-30
최인호,50707,2021,한화,0.206,49,164,136,17,28,6,0,4,46,23,2,1,24,2,43,1,0.338,0.329,0,2000-01-30
최인호,50707,2023,한화,0.298,41,148,131,23,39,5,3,2,56,11,1,0,10,4,22,2,0.427,0.363,1,2000-01-30
강재민,50705,2021,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-04-03
강재민,50705,2023,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-04-03
반즈,50730,2020,한화,0.265,74,319,283,38,75,17,1,9,121,42,2,1,27,7,81,4,0.428,0.342,4,1986-05-15
화이트,50802,2020,SK,0.136,9,30,22,3,3,1,0,1,7,4,0,0,6,2,1,0,0.318,0.367,0,1990-10-29
이거연,50819,2020,SK,0.125,8,10,8,1,1,0,0,0,1,0,0,0,2,0,6,0,0.125,0.300,0,1997-06-15
전의산,50820,2022,SSG,0.249,77,266,241,36,60,15,1,13,116,45,0,0,24,0,84,6,0.481,0.316,8,2000-11-25
전의산,50820,2023,SSG,0.201,56,153,134,11,27,6,0,4,45,21,0,2,15,3,40,1,0.336,0.294,4,2000-11-25
현원회,50840,2020,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2001-07-08
오원석,50859,2020,SK,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2001-04-23
안인산,50901,2021,NC,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2001-02-27
최지훈,50854,2020,SK,0.258,127,520,466,66,120,19,5,1,152,27,18,6,38,5,80,4,0.326,0.318,4,1997-07-23
최지훈,50854,2021,SSG,0.262,136,534,461,75,121,19,6,5,167,45,26,6,51,8,71,6,0.362,0.342,2,1997-07-23
최지훈,50854,2022,SSG,0.304,144,640,569,93,173,32,4,10,243,61,31,7,47,7,77,7,0.427,0.362,1,1997-07-23
최지훈,50854,2023,SSG,0.268,117,503,462,65,124,19,8,2,165,30,21,2,29,3,50,3,0.357,0.315,3,1997-07-23
류효승,50868,2020,SK,0.125,8,9,8,2,1,0,0,1,4,2,0,0,1,0,4,0,0.500,0.222,0,1996-07-16
류효승,50868,2023,SSG,0.000,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0.000,0.250,0,1996-07-16
김한별,50902,2022,NC,0.095,24,23,21,0,2,0,0,0,2,0,0,1,0,0,6,0,0.095,0.095,4,2001-01-18
김한별,50902,2023,NC,0.216,79,105,97,8,21,0,1,0,23,4,0,3,4,2,23,6,0.237,0.262,5,2001-01-18
김성민,50848,2020,SK,0.286,9,16,14,4,4,0,0,2,10,4,0,0,1,1,3,0,0.714,0.375,2,2001-04-30
알테어,50923,2020,NC,0.278,136,546,482,90,134,20,7,31,261,108,22,3,46,12,149,10,0.541,0.352,2,1991-01-14
알테어,50923,2021,NC,0.272,143,565,492,83,134,19,2,32,253,84,20,5,57,11,156,6,0.514,0.358,2,1991-01-14
박영빈,50906,2023,NC,0.071,41,17,14,11,1,1,0,0,2,0,4,2,1,0,6,0,0.143,0.133,0,1997-07-16
박시원,50996,2020,NC,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0,2001-05-30
박시원,50996,2021,NC,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0,2001-05-30
알몬테,51004,2021,KT,0.271,60,250,225,18,61,9,0,7,91,36,1,0,22,1,50,9,0.404,0.336,2,1989-06-10
권동진,51003,2021,KT,0.254,86,86,67,21,17,5,0,1,25,6,3,3,18,0,30,0,0.373,0.412,8,1998-09-12
권동진,51003,2022,KT,0.132,48,40,38,9,5,1,1,0,8,4,4,0,1,0,16,0,0.211,0.154,1,1998-09-12
김건형,51005,2021,KT,0.212,11,39,33,4,7,1,0,0,8,0,1,0,6,0,6,0,0.242,0.333,0,1996-07-12
김태경,50992,2022,NC,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2001-04-07
유준규,51013,2022,KT,0.214,7,16,14,3,3,0,0,0,3,0,0,0,1,0,6,0,0.214,0.267,0,2002-08-16
지명성,51060,2022,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2002-02-15
전진영,51009,2022,KT,0.333,4,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0.333,0.333,0,1998-04-30
김영현,51097,2023,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2002-08-18
이영빈,51100,2021,LG,0.243,72,169,148,21,36,9,0,2,51,16,6,3,15,3,51,1,0.345,0.323,7,2002-06-17
이영빈,51100,2022,LG,0.184,60,83,76,16,14,3,0,1,20,5,0,0,7,0,25,3,0.263,0.253,2,2002-06-17
송승기,51111,2022,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2002-04-10
보어,51144,2021,LG,0.170,32,117,100,7,17,2,0,3,28,17,0,0,11,3,30,2,0.280,0.265,3,1988-05-28
김진수,51154,2021,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1998-08-31
안재석,51203,2021,두산,0.255,96,224,200,28,51,8,2,2,69,14,1,0,16,4,53,4,0.345,0.317,13,2002-02-15
안재석,51203,2022,두산,0.213,99,264,235,22,50,10,0,3,69,17,4,0,19,4,71,5,0.294,0.281,15,2002-02-15
안재석,51203,2023,두산,0.188,27,68,64,8,12,2,1,1,19,5,2,0,3,0,12,0,0.297,0.221,1,2002-02-15
김동주,51230,2022,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2002-02-14
강현구,51269,2022,두산,0.333,3,5,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0.333,0.600,2,2002-06-16
최승용,51264,2023,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2001-05-11
이주형,51302,2021,키움,0.100,5,11,10,1,1,0,0,1,4,3,0,0,1,0,7,0,0.400,0.182,0,2002-07-05
이주형,51302,2022,키움,0.169,32,85,71,7,12,0,0,1,15,8,0,0,10,3,27,0,0.211,0.294,0,2002-07-05
김성진,51301,2021,키움,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-11-14
김성진,51301,2022,키움,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-11-14
김성진,51301,2023,키움,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-11-14
박성재,51298,2021,두산,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0,2002-11-18
김시앙,51303,2022,키움,0.083,13,14,12,1,1,0,0,0,1,0,0,0,1,0,8,1,0.083,0.154,1,2001-10-31
김시앙,51303,2023,키움,0.224,33,82,76,6,17,1,0,0,18,7,0,0,3,3,18,4,0.237,0.280,0,2001-10-31
프레이타스,51324,2021,키움,0.259,43,148,139,13,36,10,0,2,52,14,0,0,7,1,29,7,0.374,0.297,1,1989-03-18
이재홍,51307,2022,키움,0.250,4,4,4,0,1,0,0,0,1,0,0,0,0,0,2,0,0.250,0.250,0,1998-12-17
크레익,51309,2021,키움,0.248,61,247,222,25,55,12,0,6,85,30,0,1,20,4,43,4,0.383,0.320,3,1994-11-16
김휘집,51344,2021,키움,0.129,34,89,70,9,9,1,0,1,13,8,1,0,13,2,23,0,0.186,0.279,7,2002-01-01
김휘집,51344,2022,키움,0.222,112,393,333,40,74,12,1,8,112,36,0,0,39,14,115,6,0.336,0.326,16,2002-01-01
김휘집,51344,2023,키움,0.249,110,435,369,46,92,22,0,8,138,51,0,0,48,5,97,8,0.374,0.338,18,2002-01-01
장재영,51359,2021,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2002-05-10
김준형,51393,2023,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2002-07-12
김동진,51403,2022,삼성,0.250,5,4,4,0,1,1,0,0,2,0,0,0,0,0,2,0,0.500,0.250,0,1996-12-18
김동진,51403,2023,삼성,0.262,44,137,122,14,32,7,0,0,39,8,3,0,9,1,26,4,0.320,0.313,6,1996-12-18
김현준,51417,2021,삼성,0.250,13,4,4,2,1,0,0,0,1,0,0,0,0,0,0,1,0.250,0.250,0,2002-10-11
김현준,51417,2022,삼성,0.275,118,422,363,57,100,19,4,0,127,22,6,3,45,6,80,1,0.350,0.365,3,2002-10-11
김현준,51417,2023,삼성,0.275,109,479,433,62,119,10,6,3,150,46,5,5,30,5,84,5,0.346,0.327,5,2002-10-11
이승현,51454,2023,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2002-05-19
피렐라,51463,2021,삼성,0.286,140,621,553,102,158,25,2,29,274,97,9,6,57,8,89,8,0.495,0.359,0,1989-11-21
피렐라,51463,2022,삼성,0.342,141,630,561,102,192,33,4,28,317,109,15,5,55,12,81,19,0.565,0.411,5,1989-11-21
피렐라,51463,2023,삼성,0.285,139,605,557,66,159,28,1,16,237,80,6,4,42,4,69,20,0.425,0.339,2,1989-11-21
손성빈,51528,2021,롯데,0.316,20,22,19,4,6,0,0,0,6,0,0,0,3,0,6,0,0.316,0.409,0,2002-01-14
손성빈,51528,2023,롯데,0.263,45,80,76,13,20,3,0,1,26,15,0,0,2,0,10,3,0.342,0.282,1,2002-01-14
나승엽,51551,2021,롯데,0.204,60,128,113,16,23,2,0,2,31,10,1,0,14,0,33,1,0.274,0.289,5,2002-02-15
이주찬,51560,2021,롯데,0.000,3,8,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0.000,0.000,0,1998-09-21
최종은,51574,2021,롯데,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0,1998-10-12
송재영,51594,2021,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2002-06-20
권혁경,51640,2021,KIA,0.222,5,18,18,1,4,0,0,0,4,0,0,0,0,0,6,2,0.222,0.222,0,2002-01-23
권혁경,51640,2022,KIA,0.500,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0.500,0.500,0,2002-01-23
김선우,51604,2022,KIA,0.333,3,4,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0.333,0.500,0,2001-01-18
김선우,51604,2023,KIA,0.143,5,7,7,0,1,0,0,0,1,0,0,0,0,0,2,0,0.143,0.143,0,2001-01-18
조현진,51701,2023,NC,0.200,10,5,5,0,1,0,0,0,1,0,0,0,0,0,1,1,0.200,0.200,0,2002-09-10
장지승,51706,2021,한화,0.180,24,72,61,7,11,1,0,1,15,5,2,0,7,1,24,4,0.246,0.271,1,1998-07-04
장지승,51706,2023,한화,0.000,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0,1998-07-04
페레즈,51714,2021,한화,0.268,59,252,224,26,60,15,1,5,92,33,4,5,17,4,52,4,0.411,0.321,10,1991-03-26
장규현,51762,2021,한화,0.250,7,12,12,0,3,1,0,0,4,1,0,0,0,0,4,1,0.333,0.250,0,2002-06-28
힐리,51725,2021,한화,0.257,67,268,249,27,64,11,1,7,98,37,2,1,16,2,58,6,0.394,0.306,5,1992-01-10
정민규,51764,2021,한화,0.125,6,17,16,1,2,1,0,0,3,0,0,0,1,0,6,1,0.188,0.176,3,2003-01-10
정민규,51764,2022,한화,0.130,9,24,23,3,3,0,0,0,3,0,0,0,0,1,11,0,0.130,0.167,1,2003-01-10
송호정,51767,2021,한화,0.000,10,11,10,1,0,0,0,0,0,0,0,0,1,0,8,0,0.000,0.091,1,2002-03-10
박형준,51803,2023,롯데,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0,2001-06-28
추신수,51817,2021,SSG,0.265,137,580,461,84,122,19,2,21,208,69,25,9,103,12,123,8,0.451,0.409,1,1982-07-13
추신수,51817,2022,SSG,0.259,112,499,409,77,106,20,1,16,176,58,15,5,71,13,100,6,0.430,0.382,0,1982-07-13
추신수,51817,2023,SSG,0.254,112,462,382,65,97,17,1,12,152,41,6,4,65,13,79,8,0.398,0.379,0,1982-07-13
조요한,51809,2021,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,2000-01-06
