이름,생년월일,포지션
이재원,1988-02-24,포수
김성현,1987-03-09,2루수
이명기,1987-12-26,지명타자
허도환,1984-07-31,포수
손아섭,1988-03-18,지명타자
김민성,1988-12-17,2루수
김태군,1989-12-30,포수
이형종,1989-06-07,우익수
서건창,1989-08-22,2루수
김재환,1988-09-22,지명타자
최재훈,1989-08-27,포수
전준우,1986-02-25,지명타자
장성우,1990-01-17,포수
김선빈,1989-12-18,2루수
오선진,1989-07-07,유격수
오지환,1990-03-12,유격수
정주현,1990-10-13,1루수
채은성,1990-02-06,1루수
박건우,1990-09-08,우익수
정수빈,1990-10-07,중견수
허경민,1990-08-26,3루수
국해성,1989-10-08,지명타자
박동원,1990-04-07,포수
김상수,1990-03-23,유격수
이지영,1986-02-27,포수
안치홍,1990-07-02,2루수
