이름,id,연도,팀명,평균자책점,경기,완투,완봉,승리,패배,세이브,홀드,승률,타자수,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책점,생년월일,포지션,WAR,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA
진승현,52558,2023,롯데,5.86,24,0,0,2,2,0,1,0.5,129,27.7,34,2,16,0,25,20,18,2003-09-05,중계,-0.1,1.0,5.86,3.98,1.81,71.1,102.4,-0.14
파노니,52606,2023,KIA,4.26,16,0,0,6,3,0,0,0.667,351,82.3,86,6,23,2,66,41,39,1994-04-28,선발,0.84,0.0,4.26,3.7,1.32,96.9,111.0,0.04
황동하,52641,2023,KIA,6.61,13,0,0,0,3,0,0,0.0,149,31.3,35,5,21,1,19,25,23,2002-07-30,선발,-0.42,1.0,6.61,6.41,1.79,62.5,64.0,-0.97
최지민,52639,2023,KIA,2.12,58,0,0,6,3,3,12,0.667,244,59.3,45,4,26,4,44,17,14,2003-09-10,중계,2.18,5.0,2.12,4.3,1.2,194.5,95.6,0.25
문동주,52701,2023,한화,3.72,23,0,0,8,8,0,0,0.5,503,118.7,113,6,42,4,95,52,49,2003-12-23,선발,2.51,5.0,3.72,3.66,1.31,111.7,113.2,-0.08
페냐,52720,2023,한화,3.6,32,0,0,11,11,0,0,0.5,751,177.3,149,14,59,18,147,82,71,1990-01-25,선발,3.53,16.0,3.6,4.1,1.17,115.2,101.3,-0.27
조민석,52903,2023,NC,4.06,35,0,0,1,0,0,4,1.0,137,31.0,33,2,14,3,28,15,14,1998-12-21,중계,0.44,1.0,4.06,4.12,1.52,102.5,102.0,0.1
슐서,53040,2023,KT,5.62,9,0,0,1,7,0,0,0.125,221,49.7,66,6,14,0,35,32,31,1994-05-05,선발,-0.08,2.0,5.62,4.39,1.61,75.2,94.8,-0.89
박명근,53139,2023,LG,5.08,57,0,0,4,3,5,9,0.571,236,51.3,49,4,28,6,40,31,29,2004-03-27,중계,-0.09,1.0,5.08,4.77,1.5,80.3,85.6,-0.58
김동규,53164,2023,키움,22.85,4,0,0,0,1,0,0,0.0,31,4.3,6,1,12,2,1,12,11,2004-07-09,중계,-0.45,4.0,22.5,13.69,3.75,18.3,29.8,-0.44
딜런,53233,2023,두산,8.0,2,0,0,0,1,0,0,0.0,45,9.0,10,2,5,0,2,9,8,1996-06-04,선발,-0.32,1.0,8.0,7.55,1.67,50.9,52.5,-0.34
맥키니,53322,2023,키움,6.52,12,0,0,1,9,0,0,0.1,268,59.3,61,10,36,1,39,46,43,1994-11-18,선발,-0.77,3.0,6.52,6.19,1.64,63.0,65.2,-1.7
후라도,53375,2023,키움,2.65,30,0,0,11,8,0,0,0.579,763,183.7,164,7,41,9,147,64,54,1996-01-30,선발,6.03,5.0,2.65,3.15,1.12,155.2,129.1,3.2
이호성,53455,2023,삼성,2.65,5,0,0,1,0,0,0,1.0,71,17.0,11,1,10,0,11,5,5,2004-08-14,중계,0.53,1.0,2.65,4.68,1.24,160.0,89.0,0.13
윌커슨,53546,2023,롯데,2.26,13,0,0,7,2,0,0,0.778,327,79.7,67,3,20,2,81,28,20,1989-05-24,선발,2.17,3.0,2.26,2.73,1.09,184.1,151.4,1.51
윤영철,53613,2023,KIA,4.04,25,0,0,8,7,0,0,0.533,528,122.7,124,10,48,1,74,59,55,2004-04-20,선발,1.48,4.0,4.04,4.47,1.4,102.4,92.0,0.63
메디나,53645,2023,KIA,6.05,12,0,0,2,6,0,0,0.25,269,58.0,64,6,29,9,36,42,39,1996-12-18,선발,-0.62,5.0,6.05,5.51,1.6,68.3,74.6,-1.67
산체스,53665,2023,KIA,5.94,12,1,0,4,4,0,0,0.5,285,63.7,79,7,15,4,59,46,42,1994-10-31,선발,-0.57,1.0,5.94,3.87,1.48,69.6,105.5,-0.93
앤더슨,53664,2023,KIA,3.76,14,0,0,4,7,0,0,0.364,336,79.0,76,6,26,2,64,42,33,1994-10-29,선발,0.63,10.0,3.76,3.87,1.29,109.9,106.0,-0.03
산체스,53714,2023,한화,3.79,24,0,0,7,8,0,0,0.467,540,126.0,136,13,28,6,99,62,53,1997-04-11,선발,1.79,3.0,3.79,3.97,1.3,109.7,104.4,0.0
엘리아스,53825,2023,SSG,3.7,22,0,0,8,6,0,0,0.571,548,131.3,140,12,33,6,93,58,54,1988-08-01,선발,2.64,0.0,3.77,4.08,1.32,111.0,104.0,1.25
맥카티,53833,2023,SSG,3.39,24,0,0,9,5,0,0,0.643,543,130.0,124,10,45,1,116,58,49,1995-10-12,선발,2.31,4.0,3.39,3.72,1.3,123.4,114.0,0.59
이로운,53892,2023,SSG,5.62,50,0,0,6,1,0,5,0.857,268,57.7,67,7,29,1,52,39,36,2004-09-11,중계,-0.04,3.0,5.62,4.67,1.67,74.5,91.1,-0.04
태너,53909,2023,NC,2.92,11,0,0,5,2,0,0,0.714,265,64.7,58,6,13,1,47,26,21,1994-11-30,선발,1.47,0.0,2.92,3.84,1.1,142.5,109.6,0.55
송영진,53898,2023,SSG,5.7,17,0,0,3,3,0,0,0.5,220,47.3,46,3,31,2,38,35,30,2004-05-28,선발,-0.27,8.0,5.7,4.75,1.63,73.4,88.6,-1.06
페디,53913,2023,NC,2.0,30,0,0,20,6,0,0,0.769,708,180.3,137,9,35,4,209,46,40,1993-02-25,선발,7.29,5.0,2.0,2.42,0.95,208.6,174.2,4.53
와이드너,53927,2023,삼성,4.54,21,0,0,7,5,0,0,0.583,495,115.0,112,7,40,6,99,65,58,1994-10-24,선발,0.4,2.0,4.56,3.72,1.46,93.0,112.0,-0.13
이준호,53996,2023,NC,4.83,17,0,0,3,2,0,0,0.6,144,31.7,32,3,15,4,19,22,17,2000-03-27,중계,-0.13,2.0,4.83,5.27,1.48,86.2,79.7,0.03
이승현,60146,2023,삼성,3.6,60,0,0,4,4,0,14,0.5,264,60.0,68,5,15,0,42,29,24,1991-11-20,중계,1.03,2.0,3.6,3.83,1.38,117.6,109.8,-0.04
신정락,60140,2023,롯데,4.66,34,0,0,4,0,0,1,1.0,128,29.0,32,4,11,3,28,15,15,1987-05-13,중계,0.43,0.0,4.66,4.44,1.48,89.4,90.9,-0.52
이재학,60263,2023,NC,4.54,15,0,0,5,5,0,0,0.5,293,67.3,55,6,33,5,43,36,34,1990-10-04,선발,0.67,7.0,4.54,5.02,1.31,91.6,83.8,-0.23
문성현,60336,2023,키움,4.45,32,0,0,2,2,0,2,0.5,134,28.3,26,2,20,2,21,16,14,1991-11-09,중계,0.13,2.0,4.13,5.0,1.59,99.4,81.7,-0.7
김대유,60337,2023,KIA,5.11,41,0,0,0,2,0,4,0.0,110,24.7,26,2,8,6,20,15,14,1991-05-08,중계,0.1,0.0,5.11,4.46,1.38,80.9,91.9,-0.55
이태양,60768,2023,한화,3.23,50,0,0,3,3,0,2,0.5,422,100.3,100,7,21,3,72,44,36,1990-07-03,선발,2.01,1.0,3.23,3.57,1.2,128.6,116.1,0.65
박종훈,60841,2023,SSG,6.19,18,0,0,2,6,0,0,0.25,382,80.0,77,8,60,19,56,57,55,1991-08-13,선발,-0.55,2.0,6.19,6.31,1.71,67.6,67.0,-1.45
이우찬,61145,2023,LG,3.52,38,0,0,1,3,0,5,0.25,157,38.3,35,1,18,2,30,15,15,1992-08-04,중계,0.8,2.0,3.52,3.78,1.38,115.9,109.0,0.35
임찬규,61101,2023,LG,3.42,30,0,0,14,3,0,1,0.824,632,144.7,142,10,54,5,103,63,55,1992-11-20,선발,2.37,1.0,3.42,4.12,1.36,119.3,99.1,1.01
양현,61268,2023,키움,5.05,54,0,0,0,5,0,8,0.0,262,57.0,83,5,21,0,16,38,32,1992-08-23,중계,-0.23,0.0,5.05,5.07,1.83,81.3,80.4,-1.25
김대우,61365,2023,삼성,4.5,44,0,0,0,2,0,4,0.0,277,64.0,66,7,22,3,49,37,32,1988-11-21,선발,0.5,1.0,4.5,4.46,1.38,94.1,94.3,-1.38
심창민,61411,2023,NC,2.7,5,0,0,0,1,0,0,0.0,18,3.3,2,0,5,1,5,2,1,1993-02-01,중계,0.02,0.0,2.7,5.84,2.1,154.2,71.8,0.05
홍건희,61643,2023,두산,3.06,64,0,0,1,5,22,5,0.167,277,61.7,67,4,24,0,62,28,21,1992-09-29,중계,1.18,8.0,3.06,3.3,1.48,132.9,122.7,-1.08
한승혁,61666,2023,한화,6.44,21,0,0,0,3,0,1,0.0,176,36.3,48,3,21,3,28,27,26,1993-01-03,선발,-0.34,4.0,6.44,4.96,1.9,64.5,83.8,-1.69
서진용,61895,2023,SSG,2.59,69,0,0,5,4,42,0,0.556,325,73.0,63,3,49,4,64,22,21,1992-10-02,중계,3.63,5.0,2.48,4.19,1.51,169.0,100.3,2.73
윤명준,62242,2023,롯데,6.52,21,0,0,0,1,0,5,0.0,98,19.3,31,4,10,4,11,14,14,1989-06-18,중계,-0.17,5.0,6.52,6.86,2.12,63.8,58.9,-1.07
한현희,62363,2023,롯데,5.45,38,0,0,6,12,0,3,0.333,476,104.0,123,11,44,11,74,69,63,1993-06-25,선발,-0.22,6.0,5.45,4.95,1.61,76.3,82.5,-1.78
김태훈,62360,2023,삼성,7.11,71,0,0,6,7,3,11,0.462,306,63.3,74,8,43,3,40,54,50,1992-03-02,중계,-1.36,1.0,7.28,5.78,1.83,58.2,72.7,-2.05
김원중,62528,2023,롯데,2.97,63,0,0,5,6,30,0,0.455,265,63.7,51,2,25,5,82,24,21,1993-06-14,중계,1.95,3.0,2.97,2.55,1.19,140.1,162.2,-0.21
임준섭,62611,2023,SSG,5.79,41,0,0,0,2,0,4,0.0,155,32.7,44,1,19,1,26,25,21,1989-07-16,중계,-0.24,2.0,5.79,3.99,1.93,72.3,104.9,-0.04
임기영,62754,2023,KIA,2.96,64,0,0,4,4,3,16,0.5,324,82.0,56,6,19,6,57,29,27,1993-04-16,중계,2.19,1.0,2.96,3.88,0.92,139.4,105.7,0.38
문승원,62869,2023,SSG,5.23,50,0,0,5,8,1,9,0.385,479,105.0,138,12,35,6,65,67,61,1989-11-28,선발,0.24,3.0,5.23,4.83,1.65,80.0,87.9,-1.88
노건우,62920,2023,삼성,7.3,16,0,0,0,1,0,1,0.0,65,12.3,22,3,5,1,12,11,10,1989-10-22,중계,-0.2,1.0,7.3,6.12,2.19,58.0,69.4,-0.53
이형범,62951,2023,두산,6.51,23,0,0,1,0,0,1,1.0,134,27.7,40,2,12,3,13,23,20,1994-02-27,중계,-0.25,2.0,6.51,5.07,1.88,62.6,80.0,-0.32
함덕주,63248,2023,LG,1.62,57,0,0,4,0,4,16,1.0,222,55.7,32,1,22,2,59,12,10,1995-01-13,중계,2.63,0.0,1.62,2.8,0.97,252.5,148.0,2.27
윤대경,63464,2023,한화,2.45,47,0,0,5,1,0,2,0.833,199,47.7,36,4,19,6,28,18,13,1994-04-09,중계,1.11,2.0,2.45,4.93,1.15,169.2,84.2,0.58
이재익,63492,2023,삼성,3.95,51,0,0,1,3,0,11,0.25,181,41.0,46,3,17,0,26,19,18,1994-03-18,중계,0.77,3.0,3.95,4.15,1.54,107.2,101.3,-0.71
구승민,63543,2023,롯데,3.96,67,0,0,2,6,3,22,0.25,289,63.7,65,4,29,5,66,32,28,1990-06-12,중계,0.86,2.0,3.96,3.79,1.48,105.1,108.6,-0.45
박준표,63638,2023,KIA,4.5,33,0,0,1,0,0,3,1.0,118,28.0,28,3,9,0,13,16,14,1992-06-26,중계,0.18,1.0,4.5,4.76,1.32,91.8,86.0,-0.2
장현식,63950,2023,KIA,4.06,56,0,0,2,2,3,5,0.5,226,51.0,58,6,26,1,44,26,23,1995-02-24,중계,0.52,1.0,4.06,4.78,1.65,101.8,85.7,-0.62
이상민,63960,2023,삼성,8.5,23,0,0,2,1,0,1,0.667,83,18.0,32,2,3,0,17,17,17,1990-11-04,중계,-0.54,0.0,8.5,3.5,1.94,49.8,120.6,-0.63
임정호,63959,2023,NC,4.68,65,0,0,4,4,0,15,0.5,216,50.0,51,3,17,4,49,30,26,1990-04-16,중계,0.08,4.0,4.68,3.52,1.36,89.0,119.4,-0.29
고영표,64001,2023,KT,2.78,28,0,0,12,7,0,0,0.632,706,174.7,181,7,19,9,114,57,54,1991-09-16,선발,6.14,6.0,2.78,3.12,1.15,151.8,133.7,3.34
심재민,64017,2023,롯데,3.78,33,1,0,3,1,0,6,0.75,218,47.7,57,2,18,1,29,23,20,1994-02-18,선발,1.13,1.0,2.96,3.84,1.42,140.7,107.3,0.23
박세웅,64021,2023,롯데,3.45,27,0,0,9,7,0,0,0.563,657,154.0,145,8,59,4,129,70,59,1995-11-30,선발,3.11,10.0,3.45,3.65,1.33,120.7,112.8,0.84
이영준,64051,2023,키움,21.6,2,0,0,0,1,0,0,0.0,10,1.7,4,0,1,0,0,4,4,1991-10-10,중계,-0.42,1.0,21.6,5.24,3.0,19.0,79.0,-0.46
하영민,64350,2023,키움,4.64,57,0,0,3,1,0,5,0.75,247,52.3,67,4,25,1,51,36,27,1995-05-07,중계,-0.46,6.0,4.64,3.81,1.76,88.4,106.4,-0.94
이인복,64565,2023,롯데,6.48,10,0,0,1,4,0,0,0.2,168,33.3,54,3,10,5,15,32,24,1991-06-18,선발,-0.8,4.0,6.48,4.97,1.92,64.2,82.2,-1.39
최영환,64718,2023,롯데,9.9,8,0,0,0,1,0,0,0.0,54,10.0,15,0,7,1,7,14,11,1992-02-20,중계,-0.51,0.0,9.9,4.44,2.2,42.0,93.9,-0.38
조이현,64768,2023,KT,6.69,18,0,0,2,1,0,1,0.667,170,35.0,61,3,6,2,17,27,26,1995-06-27,선발,-0.17,1.0,6.69,4.27,1.91,63.2,97.3,-0.38
이건욱,64861,2023,SSG,2.09,27,0,0,1,0,0,0,1.0,169,38.7,31,0,25,2,31,13,9,1995-02-13,중계,0.93,2.0,2.33,3.78,1.45,179.8,110.1,-0.09
김민수,65048,2023,KT,6.92,14,0,0,0,1,0,3,0.0,58,13.0,17,1,5,0,4,10,10,1992-07-24,중계,-0.07,0.0,6.92,4.98,1.69,61.0,83.3,-0.23
엄상백,65056,2023,KT,3.63,20,0,0,7,6,0,0,0.538,454,111.7,100,6,29,2,89,46,45,1996-10-04,선발,2.45,1.0,3.63,3.38,1.16,116.4,123.6,0.86
김재윤,65062,2023,KT,2.6,59,0,0,5,5,32,0,0.5,262,65.7,54,2,13,1,60,21,19,1990-09-16,중계,2.86,3.0,2.6,2.42,1.02,162.2,173.7,2.31
주권,65060,2023,KT,4.4,42,0,0,1,2,0,5,0.333,205,47.0,49,4,19,2,17,23,23,1995-05-31,선발,0.75,0.0,4.4,5.04,1.45,95.9,82.4,-0.47
백승현,65109,2023,LG,1.58,42,0,0,2,0,3,11,1.0,162,40.0,28,2,18,0,30,7,7,1995-05-26,중계,2.07,1.0,1.58,3.87,1.15,259.1,106.0,1.9
최원태,65320,2023,LG,4.3,26,0,0,9,7,0,0,0.563,632,146.7,149,12,46,7,118,73,70,1997-01-07,선발,-0.61,1.0,6.7,4.25,1.71,60.9,95.1,-0.72
홍정우,65496,2023,삼성,7.5,36,0,0,2,3,0,3,0.4,166,36.0,36,5,21,3,22,31,30,1996-03-16,중계,-0.81,2.0,7.5,5.86,1.58,56.5,71.8,-1.07
배제성,65516,2023,KT,4.49,26,0,0,8,10,0,0,0.444,596,130.3,144,6,77,2,79,72,65,1996-09-29,선발,1.03,9.0,4.49,4.65,1.7,94.1,89.7,-0.97
이민우,65616,2023,한화,2.63,17,0,0,2,1,0,2,0.667,57,13.7,8,2,6,0,11,6,4,1993-02-09,중계,0.26,1.0,2.63,5.05,1.02,157.6,82.1,0.07
박정수,65639,2023,두산,4.17,25,0,0,1,0,1,0,1.0,165,36.7,37,1,18,6,28,22,17,1996-01-29,중계,0.23,2.0,4.17,4.15,1.5,97.6,99.0,0.13
문경찬,65643,2023,롯데,27.0,2,0,0,0,1,0,0,0.0,12,2.0,6,3,0,0,2,6,6,1992-07-08,중계,-0.45,0.0,27.0,20.94,3.0,15.4,18.7,-0.8
이준영,65665,2023,KIA,3.21,64,0,0,1,0,0,10,1.0,149,33.7,26,0,23,2,30,12,12,1992-08-10,중계,0.97,1.0,3.21,3.71,1.46,128.8,111.6,-0.02
주현상,65707,2023,한화,1.96,55,0,0,2,2,0,12,0.5,228,59.7,35,2,15,3,45,13,13,1992-08-10,중계,2.58,0.0,1.96,3.22,0.84,211.7,128.5,1.41
김민우,65764,2023,한화,6.97,12,0,0,1,6,0,0,0.143,243,51.7,65,6,28,2,43,43,40,1995-07-25,선발,-1.06,5.0,6.97,5.03,1.8,59.6,82.5,-1.61
김범수,65769,2023,한화,4.19,76,0,0,5,5,1,18,0.5,283,62.3,64,3,33,3,52,33,29,1995-10-03,중계,0.77,4.0,4.19,3.89,1.56,99.2,106.5,-0.32
류진욱,65949,2023,NC,2.15,70,0,0,1,4,0,22,0.2,268,67.0,41,1,32,1,62,19,16,1996-10-10,중계,2.62,5.0,2.15,3.22,1.09,193.8,130.3,1.13
구창모,65933,2023,NC,2.96,11,0,0,1,3,0,0,0.25,205,51.7,38,4,16,0,56,19,17,1997-02-17,선발,1.55,0.0,2.96,3.21,1.05,140.6,131.7,1.05
김선기,66018,2023,키움,5.98,17,0,0,1,3,1,0,0.25,200,43.7,56,2,15,1,29,37,29,1991-09-01,선발,-0.73,0.0,5.98,3.81,1.63,68.7,107.1,-0.99
박세진,66047,2023,KT,3.86,16,0,0,0,1,0,1,0.0,66,11.7,15,1,14,0,10,8,5,1997-06-27,중계,0.02,2.0,3.86,6.44,2.49,109.5,64.7,-0.2
이영하,66291,2023,두산,5.49,36,0,0,5,3,0,4,0.625,184,39.3,40,2,21,4,28,27,24,1997-11-01,중계,-0.2,2.0,5.49,4.51,1.55,74.2,90.5,-1.15
박승주,66305,2023,키움,3.5,18,0,0,0,3,0,0,0.0,91,18.0,19,2,13,2,15,11,7,1994-02-12,중계,0.09,5.0,3.5,5.72,1.78,117.3,70.9,-0.77
전상현,66609,2023,KIA,2.15,64,0,0,8,3,1,13,0.727,250,58.7,50,1,26,1,50,20,14,1996-04-18,중계,1.97,3.0,2.15,3.14,1.3,192.4,131.3,1.8
최성영,66920,2023,NC,4.86,18,0,0,5,4,0,0,0.556,303,66.7,77,6,32,5,38,37,36,1997-04-28,선발,0.68,1.0,4.86,5.14,1.64,85.7,81.8,-0.73
고우석,67119,2023,LG,3.68,44,0,0,3,8,15,0,0.273,190,44.0,38,2,22,4,59,19,18,1998-08-06,중계,0.98,5.0,3.68,3.06,1.36,110.9,134.3,-0.75
손주영,67143,2023,LG,5.19,3,0,0,1,0,0,0,1.0,46,8.7,12,0,6,0,5,7,5,1998-12-02,선발,0.0,0.0,5.19,4.37,2.08,78.6,95.0,-0.0
김명신,67246,2023,두산,3.65,70,0,0,3,3,1,24,0.5,334,79.0,72,3,27,6,65,34,32,1993-11-29,중계,1.59,3.0,3.65,3.43,1.25,111.7,119.3,1.62
최원준,67263,2023,두산,4.93,26,0,0,3,10,0,0,0.231,465,107.7,119,11,28,12,71,60,59,1994-12-21,선발,0.64,1.0,4.93,4.57,1.37,82.6,87.8,-0.31
박치국,67266,2023,두산,3.59,62,0,0,5,3,2,11,0.625,236,52.7,54,3,21,5,48,22,21,1998-03-10,중계,1.16,2.0,3.59,3.78,1.42,113.5,107.3,0.0
김재웅,67391,2023,키움,4.22,67,0,0,2,3,6,18,0.4,250,59.7,56,2,24,0,46,29,28,1998-10-22,중계,1.0,0.0,4.22,3.49,1.34,97.2,116.9,1.35
문용익,67419,2023,삼성,4.15,14,0,0,1,0,0,0,1.0,59,13.0,8,0,12,2,12,6,6,1995-02-04,중계,0.23,5.0,4.15,4.83,1.54,102.0,85.3,-0.13
최지광,67421,2023,삼성,5.19,22,0,0,2,0,0,1,1.0,82,17.3,17,4,9,1,18,10,10,1998-03-13,중계,0.1,0.0,5.19,6.1,1.5,81.6,69.5,-0.69
