이름,id,생년월일,연도,팀명,나이,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,포지션
김성진,51301,1997-11-14,2023,키움,26,55,0,0,0,3,3,0,7,47.0,19,19,208,44,7.0,0.0,5,25,2,1,38,0,0,3.64,4.74,1.47,112.9,85.4,1.11,-0.47,중계
장재영,51359,2002-05-10,2023,키움,21,23,0,0,17,1,5,0,0,71.2,46,44,339,63,15.0,0.0,4,66,0,8,67,2,8,5.53,5.4,1.8,74.3,75.6,-0.04,-0.78,선발
김준형,51393,2002-07-12,2023,키움,21,8,0,0,0,0,0,0,0,7.2,6,6,36,4,3.0,0.0,0,6,0,3,5,0,0,7.04,5.66,1.3,58.3,73.1,-0.04,-0.03,중계
이승현,51454,2002-05-19,2023,삼성,21,48,0,0,0,1,5,5,7,43.1,26,24,199,41,6.0,0.0,6,29,1,2,37,0,2,4.98,5.61,1.62,85.0,74.9,0.12,-1.6,중계
이재희,51460,2001-10-11,2023,삼성,22,2,0,0,1,0,0,0,0,8.0,3,3,33,4,1.0,0.0,1,5,0,0,5,0,1,3.38,5.69,1.13,125.5,73.7,0.14,-0.06,중계
김진욱,51516,2002-07-05,2023,롯데,21,50,0,0,0,2,1,0,8,36.1,27,26,177,37,6.0,1.0,4,29,0,2,35,0,3,6.44,5.51,1.82,64.6,74.4,-0.32,-0.76,중계
우강훈,51526,2002-10-03,2023,롯데,21,3,0,0,1,0,0,0,0,6.0,5,4,29,6,1.0,0.0,0,4,0,1,5,0,0,6.0,4.28,1.67,69.3,97.6,-0.07,-0.26,중계
김창훈,51586,2001-11-09,2023,롯데,22,3,0,0,0,0,0,0,0,4.1,1,1,17,5,0.0,1.0,0,1,0,0,1,0,0,2.08,3.67,1.39,200.3,113.1,0.12,0.1,중계
이의리,51648,2002-06-16,2023,KIA,21,28,0,0,28,11,7,0,0,131.2,64,58,598,103,18.0,0.0,4,93,1,8,156,0,10,3.96,3.75,1.49,104.2,110.4,1.74,0.05,선발
김규연,51713,2002-08-23,2023,한화,21,23,0,0,0,0,1,1,0,19.2,7,6,85,16,2.0,1.0,0,10,0,2,20,0,2,2.75,3.24,1.32,151.2,127.9,0.54,0.02,중계
김기중,51715,2002-11-16,2023,한화,21,37,0,0,6,1,3,0,1,56.1,33,29,253,58,9.0,3.0,4,29,1,9,46,0,2,4.63,4.7,1.54,89.6,88.3,0.28,0.2,선발
이용준,51948,2002-05-08,2023,NC,21,24,0,0,12,3,4,0,0,67.0,39,32,304,60,11.0,0.0,5,44,0,2,50,0,1,4.3,4.98,1.55,96.9,84.5,0.23,-0.99,선발
한재승,51994,2001-11-21,2023,NC,22,11,0,0,0,0,1,0,0,9.2,5,4,44,9,1.0,0.0,2,5,0,0,10,0,1,3.72,5.62,1.45,111.8,75.6,0.1,-0.24,중계
벤자민,52043,1993-07-26,2023,KT,30,29,0,0,29,15,6,0,0,160.0,79,63,684,149,23.0,1.0,12,45,1,3,157,0,11,3.54,3.34,1.21,119.2,125.5,2.39,0.37,선발
박영현,52060,2003-10-11,2023,KT,20,68,0,0,0,3,3,4,32,75.1,25,23,308,63,11.0,2.0,3,23,4,2,79,2,1,2.75,2.7,1.14,153.7,155.9,2.75,1.8,중계
플럿코,52145,1991-10-03,2023,LG,32,21,0,0,21,11,3,0,0,123.1,37,33,510,115,21.0,3.0,5,31,1,3,101,0,2,2.41,3.13,1.18,169.5,131.0,3.86,1.61,선발
이병헌,52204,2003-06-04,2023,두산,20,36,0,0,0,0,0,0,5,27.0,16,14,126,25,7.0,0.0,2,22,0,1,28,0,3,4.67,4.89,1.74,87.3,83.0,0.16,-0.86,중계
최지강,52206,2001-07-23,2023,두산,22,25,0,0,0,2,1,0,2,22.0,13,13,102,16,4.0,0.0,0,21,0,0,14,0,0,5.32,5.03,1.68,76.6,82.4,0.09,0.41,중계
브랜든,52257,1994-06-03,2023,두산,29,18,0,0,18,11,3,0,0,104.2,34,29,427,80,13.0,0.0,4,30,0,12,100,0,3,2.49,3.23,1.05,163.3,126.3,3.19,1.88,선발
이원재,52295,2003-05-07,2023,두산,20,1,0,0,1,0,0,0,0,1.0,3,3,9,3,1.0,0.0,0,3,0,0,0,0,0,27.0,12.44,6.0,15.1,33.3,-0.21,-0.31,중계
주승우,52330,2000-01-30,2023,키움,23,11,0,0,2,0,2,0,0,16.0,18,17,90,20,7.0,0.0,1,21,0,2,8,0,3,9.56,7.57,2.56,42.9,54.2,-0.53,-0.43,선발
윤석원,52395,2003-07-04,2023,키움,20,21,0,0,0,2,0,0,2,24.0,17,12,110,29,5.0,0.0,2,8,1,0,8,0,1,4.5,4.73,1.54,91.3,86.2,-0.07,-0.03,중계
이명종,52397,2002-12-05,2023,키움,21,45,0,0,2,5,5,0,1,57.0,34,33,260,66,13.0,0.0,5,24,0,6,26,0,0,5.21,5.25,1.58,78.8,77.7,0.16,-1.16,선발
수아레즈,52457,1989-10-08,2023,삼성,34,19,0,0,19,4,7,0,0,108.0,54,47,479,129,19.0,1.0,3,32,0,2,88,0,6,3.92,3.12,1.49,108.1,133.1,1.46,0.51,선발
김서준,52460,2003-09-01,2023,삼성,20,8,0,0,1,0,1,0,1,7.2,6,6,39,9,2.0,0.0,0,6,0,2,2,0,3,7.04,6.05,1.96,60.1,68.2,-0.09,-0.41,선발
반즈,52528,1995-10-01,2023,롯데,28,30,0,0,30,11,10,0,0,170.1,68,62,734,171,34.0,1.0,6,56,1,15,147,0,7,3.28,3.41,1.33,127.0,121.3,3.6,1.54,선발
이민석,52530,2003-12-10,2023,롯데,20,1,0,0,0,0,0,0,0,1.1,0,0,5,0,0.0,0.0,0,1,0,0,1,0,0,0.0,4.19,0.75,,99.5,0.09,0.1,중계
진승현,52558,2003-09-05,2023,롯데,20,24,0,0,0,2,2,0,1,27.2,20,18,129,34,3.0,0.0,2,16,3,0,25,0,1,5.86,3.98,1.81,71.1,102.4,-0.1,-0.14,중계
파노니,52606,1994-04-28,2023,KIA,29,16,0,0,15,6,3,0,0,82.1,41,39,351,86,14.0,1.0,6,23,0,2,66,0,0,4.26,3.7,1.32,96.9,111.0,0.84,0.04,선발
황동하,52641,2002-07-30,2023,KIA,21,13,0,0,6,0,3,0,0,31.1,25,23,149,35,6.0,3.0,5,21,0,1,19,0,1,6.61,6.41,1.79,62.5,64.0,-0.42,-0.97,선발
최지민,52639,2003-09-10,2023,KIA,20,58,0,0,0,6,3,3,12,59.1,17,14,244,45,4.0,2.0,4,26,1,4,44,0,5,2.12,4.3,1.2,194.5,95.6,2.18,0.25,중계
문동주,52701,2003-12-23,2023,한화,20,23,0,0,23,8,8,0,0,118.2,52,49,503,113,20.0,2.0,6,42,0,4,95,1,5,3.72,3.66,1.31,111.7,113.2,2.51,-0.08,선발
박준영,52731,2003-03-02,2023,한화,20,4,0,0,0,0,0,0,0,4.1,9,9,23,2,0.0,0.0,0,8,0,0,7,0,1,18.69,5.75,2.31,22.2,72.1,-0.3,-0.05,중계
이기순,52868,2003-05-14,2023,SSG,20,2,0,0,0,0,0,0,0,3.0,3,3,16,3,0.0,0.0,1,4,0,0,3,0,0,9.0,9.78,2.33,46.5,43.9,-0.02,-0.01,중계
신헌민,52873,2002-07-19,2023,SSG,21,11,0,0,0,0,0,0,0,12.0,10,8,62,19,6.0,0.0,1,6,1,0,8,0,0,6.0,4.44,2.08,69.8,95.2,-0.07,0.09,중계
임지민,52902,2003-10-11,2023,NC,20,2,0,0,0,0,0,0,0,1.1,2,2,10,2,0.0,0.0,0,4,0,0,3,0,2,13.5,7.94,4.5,30.8,53.3,-0.05,0.0,중계
조민석,52903,1998-12-21,2023,NC,25,35,0,0,0,1,0,0,4,31.0,15,14,137,33,9.0,0.0,2,14,0,3,28,0,1,4.06,4.12,1.52,102.5,102.0,0.44,0.1,중계
강건,53006,2004-07-12,2023,KT,19,4,0,0,0,0,0,1,0,6.2,1,1,28,4,2.0,0.0,0,3,0,0,8,0,1,1.35,2.39,1.05,312.8,176.9,0.24,-0.1,중계
김정운,53029,2004-04-21,2023,KT,19,5,0,0,0,0,0,0,0,7.0,4,3,35,6,2.0,0.0,0,6,0,2,3,0,0,3.86,6.01,1.71,109.5,69.2,0.08,-0.04,중계
슐서,53040,1994-05-05,2023,KT,29,9,0,0,9,1,7,0,0,49.2,32,31,221,66,9.0,1.0,6,14,1,0,35,0,2,5.62,4.39,1.61,75.2,94.8,-0.08,-0.89,선발
박명근,53139,2004-03-27,2023,LG,19,57,0,0,1,4,3,5,9,51.1,31,29,236,49,9.0,1.0,4,28,2,6,40,0,1,5.08,4.77,1.5,80.3,85.6,-0.09,-0.58,중계
김동규,53164,2004-07-09,2023,"LG,키움",19,4,0,0,1,0,1,0,0,4.1,12,11,31,6,0.0,0.0,1,12,0,2,1,0,4,22.85,15.67,4.15,17.9,26.0,-0.54,-0.44,중계
김동규,53164,2004-07-09,2023,키움,19,3,0,0,1,0,1,0,0,4.0,10,10,25,6,0.0,0.0,1,9,0,1,1,0,4,22.5,13.69,3.75,18.3,29.8,-0.45,-0.44,중계
김동규,53164,2004-07-09,2023,LG,19,1,0,0,0,0,0,0,0,0.1,2,1,6,0,0.0,0.0,0,3,0,1,0,0,0,27.0,39.44,9.0,15.1,10.4,-0.08,-0.01,중계
딜런,53233,1996-06-04,2023,두산,27,2,0,0,2,0,1,0,0,9.0,9,8,45,10,1.0,0.0,2,5,0,0,2,0,1,8.0,7.55,1.67,50.9,52.5,-0.32,-0.34,선발
김유성,53262,2002-01-01,2023,두산,21,7,0,0,0,0,0,0,0,6.1,7,7,38,6,0.0,0.0,2,12,0,0,6,0,3,9.95,11.34,2.84,40.9,35.1,-0.15,-0.24,중계
백승우,53298,2000-01-04,2023,두산,23,6,0,0,0,0,0,0,0,4.0,0,0,18,3,0.0,0.0,0,3,0,1,1,0,0,0.0,5.94,1.5,,69.7,0.21,-0.1,중계
오상원,53300,2004-07-21,2023,키움,19,11,0,0,1,0,0,0,0,15.0,11,11,74,18,5.0,1.0,0,9,0,3,7,0,0,6.6,4.91,1.8,62.2,84.2,-0.1,-0.32,선발
김건희,53312,2004-11-07,2023,키움,19,3,0,0,0,0,0,0,0,2.0,5,5,14,6,0.0,0.0,2,2,0,0,0,0,0,22.5,19.44,4.0,18.3,20.4,-0.18,0.0,중계
맥키니,53322,1994-11-18,2023,키움,29,12,0,0,12,1,9,0,0,59.1,46,43,268,61,14.0,1.0,10,36,0,1,39,1,3,6.52,6.19,1.64,63.0,65.2,-0.77,-1.7,선발
후라도,53375,1996-01-30,2023,키움,27,30,0,0,30,11,8,0,0,183.2,64,54,763,164,19.0,0.0,7,41,0,9,147,0,5,2.65,3.15,1.12,155.2,129.1,6.03,3.2,선발
이호성,53455,2004-08-14,2023,삼성,19,5,0,0,2,1,0,0,0,17.0,5,5,71,11,4.0,1.0,1,10,0,0,11,0,1,2.65,4.68,1.24,160.0,89.0,0.53,0.13,중계
박권후,53469,2004-05-28,2023,삼성,19,4,0,0,0,0,0,0,0,2.2,2,1,13,4,0.0,0.0,1,1,0,0,0,1,0,3.38,9.44,1.88,125.5,45.1,-0.01,-0.02,중계
윌커슨,53546,1989-05-24,2023,롯데,34,13,0,0,13,7,2,0,0,79.2,28,20,327,67,15.0,2.0,3,20,0,2,81,1,3,2.26,2.73,1.09,184.1,151.4,2.17,1.51,선발
석상호,53560,2000-04-14,2023,롯데,23,5,0,0,0,0,0,0,0,5.1,0,0,22,4,1.0,0.0,0,2,0,0,6,0,1,0.0,2.32,1.13,,180.7,0.24,-0.01,중계
이진하,53562,2004-06-02,2023,롯데,19,9,0,0,0,0,0,0,0,8.0,3,3,31,4,3.0,0.0,0,3,0,1,2,0,1,3.38,4.44,0.88,123.3,93.6,0.16,-0.04,중계
이태연,53594,2004-02-21,2023,롯데,19,15,0,0,0,0,0,0,1,5.2,10,10,37,12,3.0,0.0,1,9,0,0,4,0,0,15.88,9.09,3.71,26.2,45.0,-0.48,-0.34,중계
장세진,53596,2004-12-30,2023,롯데,19,2,0,0,0,0,0,0,0,1.1,2,2,8,2,0.0,0.0,1,2,0,0,1,0,0,13.5,16.19,3.0,30.8,24.6,-0.08,-0.02,중계
곽도규,53609,2004-04-12,2023,KIA,19,14,0,0,0,0,0,0,0,11.2,11,11,61,14,2.0,0.0,0,10,0,2,14,0,1,8.49,4.13,2.06,48.7,100.7,-0.19,-0.07,중계
윤영철,53613,2004-04-20,2023,KIA,19,25,0,0,24,8,7,0,0,122.2,59,55,528,124,27.0,3.0,10,48,1,1,74,1,4,4.04,4.47,1.4,102.4,92.0,1.48,0.63,선발
메디나,53645,1996-12-18,2023,KIA,27,12,0,0,12,2,6,0,0,58.0,42,39,269,64,16.0,1.0,6,29,0,9,36,1,5,6.05,5.51,1.6,68.3,74.6,-0.62,-1.67,선발
앤더슨,53664,1994-10-29,2023,KIA,29,14,0,0,14,4,7,0,0,79.0,42,33,336,76,12.0,3.0,6,26,0,2,64,0,10,3.76,3.87,1.29,109.9,106.0,0.63,-0.03,선발
산체스,53665,1994-10-31,2023,KIA,29,12,1,0,11,4,4,0,0,63.2,46,42,285,79,19.0,1.0,7,15,1,4,59,1,1,5.94,3.87,1.48,69.6,105.5,-0.57,-0.93,선발
산체스,53714,1997-04-11,2023,한화,26,24,0,0,24,7,8,0,0,126.0,62,53,540,136,23.0,0.0,13,28,2,6,99,0,3,3.79,3.97,1.3,109.7,104.4,1.79,0.0,선발
스미스,53734,1990-04-12,2023,한화,33,1,0,0,1,0,0,0,0,2.2,2,2,12,3,0.0,0.0,0,0,0,1,2,0,0,6.75,3.07,1.13,61.5,135.6,-0.05,0.11,중계
김서현,53754,2004-05-31,2023,한화,19,20,0,0,1,0,0,1,0,22.1,20,18,114,22,4.0,2.0,1,23,1,7,26,1,3,7.25,5.59,2.02,57.2,74.3,-0.45,-0.08,중계
엘리아스,53825,1988-08-01,2023,SSG,35,22,0,0,21,7,6,0,0,131.1,58,55,548,140,22.0,1.0,12,33,1,6,93,0,0,3.77,4.08,1.32,111.0,104.0,2.64,1.25,선발
맥카티,53833,1995-10-12,2023,SSG,28,24,0,0,24,9,5,0,0,130.0,58,49,543,124,19.0,2.0,10,45,0,1,116,1,4,3.39,3.72,1.3,123.4,114.0,2.31,0.59,선발
이로운,53892,2004-09-11,2023,SSG,19,50,0,0,0,6,1,0,5,57.2,39,36,268,67,13.0,1.0,7,29,2,1,52,0,3,5.62,4.67,1.67,74.5,91.1,-0.04,-0.04,중계
송영진,53898,2004-05-28,2023,SSG,19,17,0,0,9,3,3,0,0,47.1,35,30,220,46,9.0,1.0,3,31,0,2,38,2,8,5.7,4.75,1.63,73.4,88.6,-0.27,-1.06,선발
태너,53909,1994-11-30,2023,NC,29,11,0,0,11,5,2,0,0,64.2,26,21,265,58,8.0,0.0,6,13,0,1,47,0,0,2.92,3.84,1.1,142.5,109.6,1.47,0.55,선발
페디,53913,1993-02-25,2023,NC,30,30,0,0,30,20,6,0,0,180.1,46,40,708,137,16.0,0.0,9,35,0,4,209,0,5,2.0,2.42,0.95,208.6,174.2,7.29,4.53,선발
와이드너,53927,1994-10-24,2023,"NC,삼성",29,21,0,0,20,7,5,0,0,115.0,65,58,495,112,22.0,0.0,7,40,1,6,99,0,3,4.54,3.69,1.32,,,-0.12,-0.19,중계
와이드너,53927,1994-10-24,2023,삼성,29,10,0,0,9,3,3,0,0,53.1,30,27,236,61,9.0,0.0,3,17,0,3,42,0,2,4.56,3.72,1.46,93.0,112.0,0.4,-0.13,선발
와이드너,53927,1994-10-24,2023,NC,29,11,0,0,11,4,2,0,0,61.2,35,31,259,51,13.0,0.0,4,23,1,3,57,0,1,4.52,3.65,1.2,92.0,115.2,0.37,-0.06,선발
이준호,53996,2000-03-27,2023,NC,23,17,0,0,2,3,2,0,0,31.2,22,17,144,32,4.0,1.0,3,15,0,4,19,0,2,4.83,5.27,1.48,86.2,79.7,-0.13,0.03,중계
신정락,60140,1987-05-13,2023,롯데,36,34,0,0,0,4,0,0,1,29.0,15,15,128,32,6.0,0.0,4,11,3,3,28,0,0,4.66,4.44,1.48,89.4,90.9,0.43,-0.52,중계
이승현,60146,1991-11-20,2023,삼성,32,60,0,0,0,4,3,0,14,60.0,29,24,264,68,12.0,1.0,5,15,1,0,42,0,2,3.6,3.83,1.38,117.6,109.8,1.03,-0.04,중계
이재학,60263,1990-10-04,2023,NC,33,15,0,0,13,5,5,0,0,67.1,36,34,293,55,5.0,2.0,6,33,0,5,43,0,7,4.54,5.02,1.31,91.6,83.8,0.67,-0.23,선발
문성현,60336,1991-11-09,2023,키움,32,32,0,0,0,2,2,0,2,28.1,16,13,134,25,3.0,0.0,2,20,2,2,21,0,2,4.13,5.0,1.59,99.4,81.7,0.13,-0.7,중계
김대유,60337,1991-05-08,2023,KIA,32,41,0,0,0,0,2,0,4,24.2,15,14,110,26,1.0,1.0,2,8,1,6,20,0,0,5.11,4.46,1.38,80.9,91.9,0.1,-0.55,중계
이태양,60768,1990-07-03,2023,한화,33,50,0,0,12,3,3,0,2,100.1,44,36,422,100,25.0,6.0,7,20,2,4,72,0,1,3.23,3.57,1.2,128.6,116.1,2.01,0.65,선발
박종훈,60841,1991-08-13,2023,SSG,32,18,0,0,16,2,6,0,0,80.0,57,55,382,77,13.0,1.0,8,60,0,19,56,0,2,6.19,6.31,1.71,67.6,67.0,-0.55,-1.45,선발
임찬규,61101,1992-11-20,2023,LG,31,30,0,0,26,14,3,0,1,144.2,63,55,632,142,22.0,2.0,10,54,1,5,103,1,1,3.42,4.12,1.36,119.3,99.1,2.37,1.01,선발
이우찬,61145,1992-08-04,2023,LG,31,38,0,0,0,1,3,0,5,38.1,15,15,157,35,4.0,0.0,1,18,0,2,30,1,2,3.52,3.78,1.38,115.9,109.0,0.8,0.35,중계
송윤준,61156,1992-07-16,2023,한화,31,4,0,0,0,0,0,0,0,4.1,4,4,19,4,2.0,0.0,0,2,0,0,3,1,0,8.31,3.44,1.39,50.0,120.3,-0.05,-0.04,중계
양현,61268,1992-08-23,2023,키움,31,54,0,0,0,0,4,0,8,57.0,38,32,262,83,9.0,2.0,5,21,1,0,16,1,0,5.05,5.07,1.83,81.3,80.4,-0.23,-1.25,중계
김대우,61365,1988-11-21,2023,삼성,35,44,0,0,5,0,2,0,4,64.0,37,32,277,66,9.0,1.0,7,22,1,3,49,0,1,4.5,4.46,1.38,94.1,94.3,0.5,-1.38,선발
심창민,61411,1993-02-01,2023,NC,30,5,0,0,0,0,1,0,0,3.1,2,1,18,2,0.0,0.0,0,5,0,1,5,0,0,2.7,5.84,2.1,154.2,71.8,0.02,0.05,중계
홍건희,61643,1992-09-29,2023,두산,31,64,0,0,0,1,5,22,5,61.2,28,21,277,67,10.0,3.0,4,24,3,0,62,0,8,3.06,3.3,1.48,132.9,122.7,1.18,-1.08,중계
한승혁,61666,1993-01-03,2023,한화,30,21,0,0,7,0,3,0,1,36.1,27,26,176,48,9.0,0.0,3,21,0,3,28,0,4,6.44,4.96,1.9,64.5,83.8,-0.34,-1.69,선발
서진용,61895,1992-10-02,2023,SSG,31,69,0,0,0,5,4,40,0,72.2,22,20,322,62,5.0,0.0,3,48,5,4,63,0,5,2.48,4.19,1.51,169.0,100.3,3.63,2.73,중계
최성훈,62146,1989-10-11,2023,LG,34,5,0,0,0,0,0,1,0,3.0,5,5,17,7,2.0,0.0,0,1,0,0,2,0,0,15.0,3.11,2.67,27.2,133.6,-0.22,0.05,중계
윤명준,62242,1989-06-18,2023,롯데,34,21,0,0,0,0,1,0,5,19.1,14,14,98,31,3.0,1.0,4,10,2,4,11,0,5,6.52,6.86,2.12,63.8,58.9,-0.17,-1.07,중계
변시원,62263,1993-04-01,2023,키움,30,4,0,0,0,0,0,0,0,2.1,11,11,19,6,2.0,0.0,1,4,0,2,2,0,0,42.43,15.01,4.29,9.7,26.9,-0.69,-0.32,중계
김태훈,62360,1992-03-02,2023,"키움,삼성",31,71,0,0,0,6,7,3,11,63.1,54,50,306,74,18.0,2.0,8,43,4,3,40,0,1,7.11,5.81,1.85,59.4,72.1,-1.54,-2.33,중계
김태훈,62360,1992-03-02,2023,키움,31,8,0,0,0,1,0,0,3,7.2,6,5,38,9,1.0,1.0,1,6,1,0,4,0,0,5.87,6.05,1.96,70.0,67.2,-0.17,-0.28,중계
김태훈,62360,1992-03-02,2023,삼성,31,63,0,0,0,5,7,3,8,55.2,48,45,268,65,17.0,1.0,7,37,3,3,36,0,1,7.28,5.78,1.83,58.2,72.7,-1.36,-2.05,중계
한현희,62363,1993-06-25,2023,롯데,30,38,0,0,18,6,12,0,3,104.0,69,63,476,123,20.0,4.0,11,44,1,11,74,0,6,5.45,4.95,1.61,76.3,82.5,-0.22,-1.78,선발
김원중,62528,1993-06-14,2023,롯데,30,63,0,0,0,5,6,30,0,63.2,24,21,265,51,5.0,3.0,2,25,3,5,82,0,3,2.97,2.55,1.19,140.1,162.2,1.95,-0.21,중계
임준섭,62611,1989-07-16,2023,SSG,34,41,0,0,0,0,2,0,3,32.2,25,21,155,44,6.0,0.0,1,19,1,1,26,0,2,5.79,3.99,1.93,72.3,104.9,-0.24,-0.04,중계
홍성민,62655,1989-07-15,2023,키움,34,2,0,0,0,0,0,0,0,2.0,2,2,12,5,0.0,1.0,1,1,0,0,1,0,1,9.0,10.44,3.0,45.6,38.1,-0.01,-0.01,중계
임기영,62754,1993-04-16,2023,KIA,30,64,0,0,0,4,4,3,16,82.0,29,27,324,56,8.0,3.0,6,19,1,6,57,0,1,2.96,3.88,0.92,139.4,105.7,2.19,0.38,중계
문승원,62869,1989-11-28,2023,SSG,34,50,0,0,12,5,8,1,8,105.0,66,61,479,138,27.0,1.0,12,35,1,6,65,0,3,5.23,4.83,1.65,80.0,87.9,0.24,-1.88,선발
노건우,62920,1989-10-22,2023,삼성,34,16,0,0,0,0,1,0,1,12.1,11,10,65,22,3.0,0.0,3,5,0,1,12,0,1,7.3,6.12,2.19,58.0,69.4,-0.2,-0.53,중계
이형범,62951,1994-02-27,2023,두산,29,23,0,0,0,1,0,0,1,27.2,23,20,134,40,10.0,0.0,2,12,0,3,13,0,2,6.51,5.07,1.88,62.6,80.0,-0.25,-0.32,중계
류원석,63103,1989-11-18,2023,한화,34,1,0,0,0,0,0,0,0,2.0,1,1,8,1,0.0,0.0,0,0,0,1,1,0,1,4.5,3.94,0.5,92.3,105.7,0.03,0.0,중계
