name,id,birthday,연도,팀,나이,P,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
강현우,50066,2001-04-13,2020,KT,19,C,26,32,30,2,6,2,0,1,11,3,0,0,2,0,0,11,1,0,0,0.2,0.25,0.367,0.617,0.276,54.0,0.04,0.02
강현우,50066,2001-04-13,2023,KT,22,C,53,111,103,11,20,6,0,1,29,11,0,1,6,1,0,17,3,1,0,0.194,0.246,0.282,0.527,0.249,42.6,-0.12,-0.99
손호영,50150,1994-08-23,2020,LG,26,3B,22,31,30,9,11,2,0,0,13,3,5,0,1,0,0,6,2,0,0,0.367,0.387,0.433,0.82,0.38,125.3,0.29,-0.34
손호영,50150,1994-08-23,2021,LG,27,SS,8,12,10,2,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0.1,0.25,0.1,0.35,0.205,11.0,-0.07,0.01
손호영,50150,1994-08-23,2022,LG,28,2B,36,82,74,13,19,0,2,3,32,14,0,3,6,0,0,14,2,1,1,0.257,0.309,0.432,0.741,0.33,106.7,0.31,0.03
손호영,50150,1994-08-23,2023,LG,29,SS,27,45,44,8,9,0,0,1,12,6,2,1,1,0,0,12,5,0,0,0.205,0.222,0.273,0.495,0.232,35.0,-0.13,-0.1
라모스,50165,1994-12-28,2020,LG,26,1B,117,494,431,74,120,17,2,38,255,86,2,0,55,4,5,136,7,0,4,0.278,0.362,0.592,0.954,0.407,153.6,4.35,2.45
라모스,50165,1994-12-28,2021,LG,27,1B,51,205,185,14,45,7,1,8,78,25,0,0,18,2,0,43,2,0,0,0.243,0.317,0.422,0.739,0.341,107.1,0.58,-0.15
이주형,50167,2001-04-02,2021,LG,20,1B,13,19,16,3,2,0,0,0,2,0,2,1,1,1,0,7,0,1,0,0.125,0.222,0.125,0.347,0.18,-6.5,-0.18,-0.5
이주형,50167,2001-04-02,2023,"LG,키움",22,CF,69,243,215,32,70,13,4,6,109,36,3,1,19,5,2,53,4,2,2,0.326,0.39,0.507,0.897,0.405,151.8,2.6,1.39
이주형,50167,2001-04-02,2023,LG,22,CF,18,16,15,2,4,2,0,0,6,2,0,0,0,1,0,5,0,0,0,0.267,0.313,0.4,0.713,0.333,103.2,0.07,-0.05
이주형,50167,2001-04-02,2023,키움,22,CF,51,227,200,30,66,11,4,6,103,34,3,1,19,4,2,48,4,2,2,0.33,0.396,0.515,0.911,0.41,155.4,2.37,1.45
안권수,50202,1993-04-19,2020,두산,27,RF,68,41,37,10,10,0,0,0,10,3,2,1,2,0,0,5,1,1,1,0.27,0.3,0.27,0.57,0.265,48.2,-0.33,-0.21
안권수,50202,1993-04-19,2021,두산,28,RF,87,47,42,17,10,0,1,0,12,4,3,0,3,0,0,3,0,2,0,0.238,0.289,0.286,0.575,0.266,48.7,-0.08,-0.25
안권수,50202,1993-04-19,2022,두산,29,RF,76,267,239,43,71,7,2,0,82,20,3,4,26,1,0,40,6,1,0,0.297,0.368,0.343,0.712,0.339,108.3,1.15,-0.47
안권수,50202,1993-04-19,2023,롯데,30,LF,95,309,268,42,72,6,1,2,86,29,16,7,30,1,1,40,4,7,3,0.269,0.341,0.321,0.662,0.311,85.3,0.74,-0.29
권휘,50203,2000-12-07,2020,두산,20,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
권휘,50203,2000-12-07,2021,두산,21,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
박지훈,50204,2000-09-07,2020,두산,20,,9,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,,-0.01,-0.0
박지훈,50204,2000-09-07,2021,두산,21,1B,34,14,12,6,4,1,0,0,5,2,3,1,1,1,0,3,0,0,0,0.333,0.429,0.417,0.845,0.408,146.4,0.1,0.23
박지훈,50204,2000-09-07,2023,두산,23,1B,22,21,19,2,4,1,0,0,5,2,1,0,2,0,0,7,0,0,0,0.211,0.286,0.263,0.549,0.269,58.1,-0.09,0.03
오명진,50208,2001-09-04,2020,두산,19,,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,-126.0,-0.1,-0.26
오명진,50208,2001-09-04,2021,두산,20,,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,-126.4,-0.07,0.0
양찬열,50293,1997-05-25,2020,두산,23,RF,17,26,22,5,5,0,0,0,5,3,0,0,3,1,0,2,0,0,0,0.227,0.346,0.227,0.573,0.295,68.5,0.01,-0.0
양찬열,50293,1997-05-25,2022,두산,25,RF,41,94,82,15,20,4,0,3,33,12,0,0,11,0,0,23,2,1,0,0.244,0.333,0.402,0.736,0.337,113.1,0.43,0.38
양찬열,50293,1997-05-25,2023,두산,26,RF,44,99,88,15,21,2,2,0,27,6,3,2,9,1,0,23,1,0,1,0.239,0.313,0.307,0.62,0.299,76.0,0.02,-1.14
조제영,50296,2001-02-12,2020,두산,19,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
김병휘,50304,2001-02-16,2020,키움,19,DH,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
김병휘,50304,2001-02-16,2021,키움,20,2B,12,11,10,5,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0.2,0.273,0.2,0.473,0.241,33.9,0.01,-0.05
김병휘,50304,2001-02-16,2023,키움,22,2B,10,21,21,0,3,1,0,0,4,1,0,0,0,0,0,8,0,0,0,0.143,0.143,0.19,0.333,0.154,-19.3,-0.2,-0.25
모터,50300,1989-09-18,2020,키움,31,3B,10,37,35,4,4,0,0,1,7,3,0,0,1,0,0,10,0,0,1,0.114,0.135,0.2,0.335,0.149,-24.6,-0.43,-0.64
러셀,50350,1994-01-23,2020,키움,26,2B,65,271,244,22,62,14,0,2,82,31,2,0,22,2,1,37,6,0,3,0.254,0.317,0.336,0.653,0.305,75.0,0.42,-1.03
러셀,50350,1994-01-23,2023,키움,29,SS,59,239,220,20,63,11,1,4,88,42,1,0,17,1,1,39,5,0,1,0.286,0.339,0.4,0.739,0.345,110.6,1.36,1.45
박주홍,50357,2001-04-16,2020,키움,19,DH,13,25,24,0,6,2,0,0,8,1,0,1,1,0,0,10,0,0,0,0.25,0.28,0.333,0.613,0.283,60.9,-0.16,-0.15
박주홍,50357,2001-04-16,2021,키움,20,DH,23,56,47,4,5,2,0,0,7,3,1,1,9,0,0,21,1,0,0,0.106,0.25,0.149,0.399,0.217,18.3,-0.45,-0.34
박주홍,50357,2001-04-16,2022,키움,21,LF,21,57,49,4,11,1,1,0,14,3,0,0,8,0,1,18,1,0,0,0.224,0.333,0.286,0.619,0.294,78.7,-0.01,-0.22
박주홍,50357,2001-04-16,2023,키움,22,1B,27,57,50,5,6,0,1,0,8,2,1,0,5,0,0,26,0,0,2,0.12,0.193,0.16,0.353,0.177,-3.7,-0.58,-0.55
김동혁,50360,2001-12-27,2020,키움,19,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
김동혁,50360,2001-12-27,2023,키움,22,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
문찬종,50365,1991-03-23,2020,키움,29,SS,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-126.0,-0.02,0.0
문찬종,50365,1991-03-23,2021,키움,30,2B,12,17,14,0,2,0,0,0,2,1,0,0,3,0,0,4,1,0,0,0.143,0.294,0.143,0.437,0.243,35.7,-0.06,-0.12
신준우,50312,2001-06-21,2021,키움,20,SS,56,51,42,7,7,3,0,0,10,4,0,1,4,3,0,21,1,1,1,0.167,0.28,0.238,0.518,0.256,42.9,-0.25,-0.2
신준우,50312,2001-06-21,2022,키움,21,SS,76,54,43,6,6,3,0,0,9,0,0,0,7,2,0,19,0,2,0,0.14,0.289,0.209,0.498,0.246,45.5,0.0,-0.23
신준우,50312,2001-06-21,2023,키움,22,SS,24,19,18,4,2,0,0,0,2,0,0,0,0,1,0,5,0,0,0,0.111,0.158,0.111,0.269,0.14,-28.5,-0.17,-0.23
김동욱,50393,1997-05-16,2021,키움,24,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
박관진,50397,1997-03-26,2021,키움,24,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
박주혁,50411,2001-05-18,2022,삼성,21,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
김지찬,50458,2001-03-08,2020,삼성,19,2B,135,287,254,47,59,5,1,1,69,13,21,4,24,2,0,44,1,5,2,0.232,0.301,0.272,0.573,0.272,53.4,0.12,-1.61
김지찬,50458,2001-03-08,2021,삼성,20,SS,120,336,296,50,81,6,0,1,90,26,23,4,27,0,0,31,0,10,3,0.274,0.331,0.304,0.635,0.3,73.4,0.9,0.08
김지찬,50458,2001-03-08,2022,삼성,21,2B,113,429,361,62,101,7,6,0,120,25,25,4,45,2,0,64,2,19,2,0.28,0.361,0.332,0.693,0.317,93.2,2.08,0.63
김지찬,50458,2001-03-08,2023,삼성,22,2B,99,355,291,59,85,4,2,1,96,18,13,1,48,9,0,36,1,7,0,0.292,0.408,0.33,0.738,0.358,116.8,2.51,0.3
살라디노,50468,1989-07-20,2020,삼성,31,LF,44,163,132,26,37,8,0,6,63,27,6,1,23,7,0,41,3,0,1,0.28,0.411,0.477,0.888,0.405,137.2,1.37,0.53
팔카,50469,1991-10-28,2020,삼성,29,DH,51,217,196,17,41,7,0,8,72,23,2,0,18,0,0,58,5,0,3,0.209,0.272,0.367,0.639,0.288,60.3,-0.66,-0.64
황성빈,50500,1997-12-19,2022,롯데,25,CF,102,353,320,62,94,12,4,1,117,16,10,12,22,2,0,55,2,7,2,0.294,0.341,0.366,0.707,0.324,95.3,1.23,-0.39
황성빈,50500,1997-12-19,2023,롯데,26,LF,74,191,170,22,36,5,2,0,45,8,9,5,12,1,0,27,1,8,0,0.212,0.268,0.265,0.533,0.247,41.0,-0.61,-0.86
마차도,50506,1992-02-22,2020,롯데,28,SS,144,560,486,79,136,31,1,12,205,67,15,1,54,8,2,60,20,4,8,0.28,0.356,0.422,0.778,0.351,102.5,3.25,1.71
마차도,50506,1992-02-22,2021,롯데,29,SS,134,539,466,83,130,21,1,5,168,58,8,5,58,4,1,65,8,4,7,0.279,0.359,0.361,0.719,0.341,98.3,2.55,-0.66
홍종표,50600,2000-05-02,2020,KIA,20,2B,40,88,80,7,20,3,0,0,23,7,0,2,4,0,0,13,1,3,1,0.25,0.282,0.288,0.57,0.259,43.2,-0.34,-1.01
홍종표,50600,2000-05-02,2023,KIA,23,2B,40,12,7,10,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0.0,0.364,0.0,0.364,0.245,41.1,0.03,0.08
박민,50657,2001-06-05,2020,KIA,19,3B,6,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.5,0.0,0.5,0.367,,0.01,-0.01
박민,50657,2001-06-05,2021,KIA,20,SS,18,38,35,3,6,1,0,0,7,3,0,1,2,1,0,10,1,0,0,0.171,0.237,0.2,0.437,0.22,18.8,-0.22,-0.41
박민,50657,2001-06-05,2022,KIA,21,SS,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-124.0,-0.04,-0.01
정해영,50662,2001-08-23,2021,KIA,20,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
정해영,50662,2001-08-23,2023,KIA,22,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
임종찬,50704,2001-09-28,2020,한화,19,RF,52,119,108,5,25,5,0,1,33,12,0,1,9,1,0,38,2,1,0,0.231,0.297,0.306,0.602,0.283,61.5,-0.33,-0.49
임종찬,50704,2001-09-28,2021,한화,20,RF,42,146,132,9,20,5,0,1,28,8,0,1,12,1,0,49,2,1,0,0.152,0.228,0.212,0.44,0.217,18.7,-1.06,-1.09
임종찬,50704,2001-09-28,2022,한화,21,RF,20,57,53,2,10,1,0,2,17,6,0,1,3,0,1,23,1,0,1,0.189,0.228,0.321,0.549,0.241,41.6,-0.28,-0.12
박정현,50709,2001-07-27,2020,한화,19,SS,30,64,61,6,17,3,0,1,23,9,0,0,3,0,0,17,2,0,0,0.279,0.313,0.377,0.69,0.317,84.2,0.13,-0.05
박정현,50709,2001-07-27,2021,한화,20,SS,33,120,107,10,21,4,0,0,25,9,1,0,9,0,0,32,1,3,1,0.196,0.256,0.234,0.49,0.235,30.9,-0.52,-0.59
박정현,50709,2001-07-27,2022,한화,21,SS,81,220,205,23,50,4,1,3,65,19,6,1,12,1,0,56,2,2,0,0.244,0.289,0.317,0.606,0.282,70.2,0.15,-1.42
박정현,50709,2001-07-27,2023,한화,22,SS,53,113,105,12,19,6,0,2,31,4,0,0,3,2,0,36,2,3,0,0.181,0.218,0.295,0.513,0.234,34.6,-0.31,-1.52
강재민,50705,1997-04-03,2021,한화,24,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
강재민,50705,1997-04-03,2023,한화,26,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
최인호,50707,2000-01-30,2020,한화,20,LF,47,135,127,8,30,0,0,0,30,8,0,0,4,1,0,34,3,1,2,0.236,0.261,0.236,0.497,0.237,31.9,-0.73,-1.14
최인호,50707,2000-01-30,2021,한화,21,LF,49,164,136,17,28,6,0,4,46,23,2,1,24,2,0,43,1,0,2,0.206,0.329,0.338,0.668,0.321,87.7,0.27,-0.76
최인호,50707,2000-01-30,2023,한화,23,LF,41,148,131,23,39,5,3,2,56,11,1,0,10,4,0,22,2,2,1,0.298,0.363,0.427,0.791,0.364,124.5,1.0,0.33
반즈,50730,1986-05-15,2020,한화,34,1B,74,319,283,38,75,17,1,9,121,42,2,1,27,7,1,81,4,0,2,0.265,0.342,0.428,0.769,0.349,104.5,1.23,0.31
화이트,50802,1990-10-29,2020,SK,30,DH,9,30,22,3,3,1,0,1,7,4,0,0,6,2,0,1,0,0,0,0.136,0.367,0.318,0.685,0.337,92.6,-0.06,0.02
이거연,50819,1997-06-15,2020,SK,23,DH,8,10,8,1,1,0,0,0,1,0,0,0,2,0,0,6,0,0,0,0.125,0.3,0.125,0.425,0.241,31.3,-0.06,0.02
전의산,50820,2000-11-25,2022,SSG,22,1B,77,266,241,36,60,15,1,13,116,45,0,0,24,0,3,84,6,0,1,0.249,0.316,0.481,0.797,0.353,114.0,1.0,0.2
전의산,50820,2000-11-25,2023,SSG,23,1B,56,153,134,11,27,6,0,4,45,21,0,2,15,3,0,40,1,0,1,0.201,0.294,0.336,0.63,0.299,77.3,-0.14,0.19
현원회,50840,2001-07-08,2020,SK,19,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
김성민,50848,2001-04-30,2020,SK,19,SS,9,16,14,4,4,0,0,2,10,4,0,0,1,1,0,3,0,0,0,0.286,0.375,0.714,1.089,0.457,165.1,0.2,0.15
최지훈,50854,1997-07-23,2020,SK,23,RF,127,520,466,66,120,19,5,1,152,27,18,6,38,5,0,80,4,8,3,0.258,0.318,0.326,0.645,0.299,71.5,0.39,-2.51
최지훈,50854,1997-07-23,2021,SSG,24,CF,136,534,461,75,121,19,6,5,167,45,26,6,51,8,0,71,6,8,6,0.262,0.342,0.362,0.705,0.33,93.8,2.12,-0.19
최지훈,50854,1997-07-23,2022,SSG,25,CF,144,640,570,93,173,32,4,10,243,61,31,7,47,7,0,77,7,12,4,0.304,0.362,0.426,0.788,0.357,120.8,4.78,1.77
최지훈,50854,1997-07-23,2023,SSG,26,CF,117,503,462,65,124,19,8,2,165,30,21,2,29,3,0,50,3,8,1,0.268,0.315,0.357,0.672,0.312,90.5,2.03,-1.13
오원석,50859,2001-04-23,2020,SK,19,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
류효승,50868,1996-07-16,2020,SK,24,DH,8,9,8,2,1,0,0,1,4,2,0,0,1,0,0,4,0,0,0,0.125,0.222,0.5,0.722,0.3,62.8,-0.02,-0.05
류효승,50868,1996-07-16,2023,SSG,27,DH,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.25,0.0,0.25,0.19,0.9,-0.04,-0.12
안인산,50901,2001-02-27,2021,NC,20,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
김한별,50902,2001-01-18,2022,NC,21,SS,24,23,21,0,2,0,0,0,2,0,0,1,0,0,0,6,0,2,0,0.095,0.095,0.095,0.191,0.082,-66.8,-0.38,-0.39
김한별,50902,2001-01-18,2023,NC,22,SS,79,105,97,8,21,0,1,0,23,4,0,3,4,2,0,23,6,2,0,0.216,0.262,0.237,0.499,0.24,39.6,-0.41,-0.55
박영빈,50906,1997-07-16,2023,NC,26,DH,41,17,14,11,1,1,0,0,2,0,4,2,1,0,0,6,0,2,0,0.071,0.133,0.143,0.276,0.121,-43.1,-0.27,-0.19
알테어,50923,1991-01-14,2020,NC,29,CF,136,546,482,90,134,20,7,31,261,108,22,3,46,12,3,149,10,0,6,0.278,0.352,0.541,0.893,0.387,124.7,4.43,2.78
알테어,50923,1991-01-14,2021,NC,30,CF,143,565,492,83,134,19,2,32,253,84,20,5,57,11,2,156,6,0,5,0.272,0.358,0.514,0.872,0.393,132.0,4.91,2.11
김태경,50992,2001-04-07,2022,NC,21,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
박시원,50996,2001-05-30,2020,NC,19,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-126.0,-0.02,-0.0
박시원,50996,2001-05-30,2021,NC,20,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-126.4,-0.02,-0.13
알몬테,51004,1989-06-10,2021,KT,32,LF,60,249,224,18,61,9,0,7,91,36,1,0,22,1,0,49,9,0,2,0.272,0.337,0.406,0.744,0.347,102.5,0.57,-0.46
권동진,51003,1998-09-12,2021,KT,23,SS,86,85,66,21,17,5,0,1,25,6,3,3,18,0,0,30,0,1,0,0.258,0.417,0.379,0.796,0.382,124.9,0.42,-0.03
권동진,51003,1998-09-12,2022,KT,24,2B,46,40,38,9,5,1,1,0,8,4,4,0,1,0,0,16,0,1,0,0.132,0.154,0.211,0.364,0.163,-12.6,-0.29,-0.26
김건형,51005,1996-07-12,2021,KT,25,RF,11,39,33,4,7,1,0,0,8,0,1,0,6,0,1,6,0,0,0,0.212,0.333,0.242,0.576,0.283,60.4,-0.03,0.06
